42269769,42270114,Find a subsequence of an array of tuples using regex,"Lets assume that I have the following array of string tuples:--CODE--I want to find a sublist that the first tuple contains N and the second one contains F.Here  are the excepted answers:--CODE--I've tried this--CODE--So it can detect [N][F], But with it only works where tuples has only one element.Is it possible to achieve this using regex?","[""[N][F][N][N,F],[F,NN,FN,...][N,F],[F,NB,NN,..]"", ""    [N][F]    [N][N,F]    [N,F],[F,NN,FN]    [N,F],[F,NB,NN]"", ""(\\[N\\])(\\[F\\])""]",<java><python><regex>,42270114,"If I understand you correctly and based on your try:--CODE--this should work for you.See: [https://regex101.com/r/HQ3WAA/4](""https://regex101.com/r/HQ3WAA/4"")","[""\\[[^\\]]*N[^\\]]*\\][^\\]]*F[^\\]]*\\]""]",Strings,"{""Regular expressions"": 1.0}"
2718110,,Java Swing - Problem in disabling JCheckbox,"I am disabling a JCheckbox and then enabling it with the help of setEnabled(...) method.But the problem is if I disable a unselected checkbox, then it becomes selected after I enable it.I want all of them to have the same state after being enabled that they had before being disabled.",[],<java><swing><checkbox><jcheckbox>,2718240,"Are you enabling/disabling the JCheckBox using an ActionListener? If so, then that is normal because when you click on the checkbox, the isSelected() status changes. What you can do is to add checks using isSelected() and the setSelected() methods. ",[],Graphical User Interfaces,"{""A selection of Swing components"": 0.8}"
5071508,5071923,Problem with extending class JLabel to add to it property dragging,"I have class JLabelExtended, which extends class javax.swing.JLabel.I extend it, because I want to add property dragging using mouse.Here is my code:--CODE--}This is console part after label dragged:--CODE--I have several questions:Why e.getY() takes negative results?When I drag my label there are appeares copy of label which drags near my label. How can I fix it?When I drag my label, it drags  very slowly.For example: when I move my cursor on 10 points my label moves only on 5 point. How can I fix it?Thanks in advanceHere are else one way to extend JLabel:public class LabelEasy extends JLabel {    private MouseAdapter moveMouseAdapter;    private MouseMotionAdapter mouseMotionAdapter;--CODE--}But it works like previous variant.","[""public class JLabelExtended extends JLabel {private MouseMotionAdapter mouseMotionAdapter;private JLabelExtended jLabelExtended;public LabelEasy(String text) {    super(text);    jLabelExtended = this;    mouseMotionAdapter = new MouseMotionAdapter() {        @Override        public void mouseDragged(MouseEvent e) {            System.out.println(e.getX() + \""  :   \"" + e.getY());            jLabelExtended.setLocation(e.getX(), e.getY()            );        }    };    jLabelExtended.addMouseMotionListener(mouseMotionAdapter);}"", ""163  :   163144  :   -87163  :   162144  :   -88163  :   161144  :   -89"", ""private LabelEasy jLabelExtended;private int xAdjustment, yAdjustment;Boolean count = false;public LabelEasy(String text) {    super(text);    jLabelExtended = this;    moveMouseAdapter = new MouseAdapter() {        @Override        public void mouseClicked(MouseEvent e) {            if (e.getButton() == 1) {                xAdjustment = e.getX();                yAdjustment = e.getY();            }        }    };    mouseMotionAdapter = new MouseMotionAdapter() {        @Override        public void mouseDragged(MouseEvent e) {            if (count) {                System.out.println(e.getX() + \""  :   \"" + e.getY());                jLabelExtended.setLocation(xAdjustment + e.getX(), yAdjustment + e.getY());                count = false;            } else {                count = true;            }            ;        }    };    jLabelExtended.addMouseMotionListener(mouseMotionAdapter);    jLabelExtended.addMouseListener(moveMouseAdapter);}""]",<java><swing><mouseevent><jlabel><jcomponent>,5071923,"I think you're doing it wrong.  The MouseMotionListener is added to the JLabel and its location is relative to the JLabel, not the Container which holds the JLabel, so the information is useless to help you drag it.  You may wish to use a MouseAdapter and add it both as a MouseListener and a MouseMotionListener.  On mousePressed, get the location of the JLabel and the mouse relative to the screen and then use that for your dragging on mouseDragged.  Myself, I wouldn't extend JLabel to do this but would rather just use a regular JLabel, but that's my preference.Edit: it worked better for me when I dealt with the mouse's position relative to the screen (by calling getLocationOnScreen) and the JLabel's position relative to its Container (by calling getLocation).  For e.g.,--CODE--","[""import java.awt.*;import java.awt.event.*;import java.util.Random;import javax.swing.*;public class DragLabelEg {    private static final String[] LABEL_STRINGS = { \""Do\"", \""Re\"", \""Me\"", \""Fa\"",            \""So\"", \""La\"", \""Ti\"" };    private static final int HEIGHT = 400;    private static final int WIDTH = 600;    private static final Dimension MAIN_PANEL_SIZE = new Dimension(WIDTH,            HEIGHT);    private static final int LBL_WIDTH = 60;    private static final int LBL_HEIGHT = 40;    private static final Dimension LABEL_SIZE = new Dimension(LBL_WIDTH,            LBL_HEIGHT);    private JPanel mainPanel = new JPanel();    private Random random = new Random();    public DragLabelEg() {        mainPanel.setPreferredSize(MAIN_PANEL_SIZE);        mainPanel.setLayout(null);        MyMouseAdapter myMouseAdapter = new MyMouseAdapter();        for (int i = 0; i < LABEL_STRINGS.length; i++) {            JLabel label = new JLabel(LABEL_STRINGS[i], SwingConstants.CENTER);            label.setSize(LABEL_SIZE);            label.setOpaque(true);            label.setLocation(random.nextInt(WIDTH - LBL_WIDTH),                    random.nextInt(HEIGHT - LBL_HEIGHT));            label.setBackground(new Color(150 + random.nextInt(105),                    150 + random.nextInt(105), 150 + random.nextInt(105)));            label.addMouseListener(myMouseAdapter);            label.addMouseMotionListener(myMouseAdapter);            mainPanel.add(label);        }    }    public JComponent getMainPanel() {        return mainPanel;    }    private class MyMouseAdapter extends MouseAdapter {        private Point initLabelLocation = null;        private Point initMouseLocationOnScreen = null;        @Override        public void mousePressed(MouseEvent e) {            JLabel label = (JLabel)e.getSource();            // get label's initial location relative to its container            initLabelLocation = label.getLocation();            // get Mouse's initial location relative to the screen             initMouseLocationOnScreen = e.getLocationOnScreen();        }        @Override        public void mouseReleased(MouseEvent e) {            initLabelLocation = null;            initMouseLocationOnScreen = null;        }        @Override        public void mouseDragged(MouseEvent e) {            // if not dragging a JLabel            if (initLabelLocation == null || initMouseLocationOnScreen == null) {                return;            }            JLabel label = (JLabel)e.getSource();            // get mouse's new location relative to the screen            Point mouseLocation = e.getLocationOnScreen();            // and see how this differs from the initial location.            int deltaX = mouseLocation.x - initMouseLocationOnScreen.x;            int deltaY = mouseLocation.y - initMouseLocationOnScreen.y;            // change label's position by the same difference, the \""delta\"" vector            int labelX = initLabelLocation.x + deltaX;            int labelY = initLabelLocation.y + deltaY;            label.setLocation(labelX, labelY);        }    }    public static void main(String[] args) {        SwingUtilities.invokeLater(new Runnable() {            public void run() {                createGui();            }        });    }    private static void createGui() {        JFrame frame = new JFrame(\""App\"");        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);        frame.getContentPane().add(new DragLabelEg().getMainPanel());        frame.pack();        frame.setLocationRelativeTo(null);        frame.setVisible(true);    }}""]",Graphical User Interfaces,"{""A selection of Swing components"": 0.8, ""The Swing event model"": 0.7}"
41677223,,Grouping regular expression,"Here is my questions:I have a very long string with so many values bounded by the different tags. Those values including chinese, english wording and digits. I wanna to separate by specify pattern. The following is an example:(I want to find a pattern xxxxxx where xxxx is chinese, english, digits or any notation but not include """" as those two symbol is for identify the tags)However, I found some strange for these pattern. The Pattern seems didn't recgonize the first two tag() but the second one--CODE--The output is as same as my String a ","[""String a = \""<f\\\""number\\\"">4  <f\\\""number\\\""><f$n0>14   <h85><f$n0>4    <f$n0>2 <f$n0>2 7   -<f\\\""Times-Roman\\\"">7<f\\\""number\\\"">\"";Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}*\\\\p{sc=Han}*[a-z]*[A-Z]*[0-9]*^<>]*<f\\\""number\\\"">\"");Matcher m = p.matcher(a);while(m.find()){    System.out.println(m.group());}""]",<java><regex>,41677425,The character class [\\P{sc=Han}*\\p{sc=Han}*[a-z]*[A-Z]*[0-9]*^]* matches 0 or more any character because \\P{sc=Han} and \\p{sc=Han} are opposite.I guess you want:--CODE--You may want to add spaces:--CODE--or:--CODE--,"[""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}a-zA-Z0-9]*<f\\\""number\\\"">\"");"", ""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}a-zA-Z0-9\\s]*<f\\\""number\\\"">\"");"", ""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[^<]*<f\\\""number\\\"">\"");""]",Strings,"{""Regular expressions"": 1.0}"
45684047,45684222,Java Regexp to match domain of url,"I would like to use Java regex to match a domain of a url, for example,for www.table.google.com, I would like to get 'google' out of the url, namely, the second last word in this URL string. Any help will be appreciated !!!",[],<java><regex>,45684222,"It really depends on the complexity of your inputs...Here is a pretty simple regex:--CODE--It fetches something that is inside dots \\..And here are some examples for that pattern: [https://regex101.com/r/L52oz6/1](""https://regex101.com/r/L52oz6/1""). As you can see, it works for simple inputs but not for complex urls.But why reinventing the wheel, there are plenty of really good libraries that correctly parse any complex url. But sure, for simple inputs a small regex is easily build. So if that does not solve the problem for your inputs then please callback, I will adjust the regex pattern then.Note that you can also just use simple splitting like:--CODE--But don't forget the index-bound checking.Or if you search for a very quick solution than walk through the input starting from the last position. Work your way through until you found the first dot, continue until the second dot was found. Then extract that part with input.substring(index1, index2);.There is also already a delegate method for exactly that purpose, namely String#lastIndexOf (see the [documentation](""https://docs.oracle.com/javase/8/docs/api/java/lang/String.html#lastIndexOf-int-"")).Take a look at this code snippet:--CODE--Maybe the bounds are off by 1, haven't tested the code, but you get the idea. Also don't forget bound checking.The advantage of this approach is that it is really fast, it can directly work on the internal structures of Strings without creating copies.","["".+\\\\.(.+)\\\\..+"", ""String[] elements = input.split(\""\\\\.\"");String secondToLastElement = elements[elements.length - 2];"", ""String input = ...int indexLastDot = input.lastIndexOf('.');int indexSecondToLastDot = input.lastIndexOf('.', indexLastDot);String secondToLastWord = input.substring(indexLastDot, indexSecondToLastDot);""]",Strings,"{""Regular expressions"": 1.0}"
34355057,34355371,My JFrame doesn't draw a string of options,"In my game I have different states, and the first state is the Main Menu. However, it does not draw that Main Menu for an unknown reason to me.Main-code:--CODE--Game-code:--CODE--GameStateManager-code:--CODE--GameState-code:--CODE--And the Main Menu-code:--CODE--I can however draw rectangles from the Game-code, line 65.","[""package Game.Window;import java.awt.BorderLayout;import javax.swing.JFrame;public class Window {    public static void main(String[] args){        JFrame frame = new JFrame(\""TITLE\"");        frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);        frame.setResizable(false);        frame.setLayout(new BorderLayout());        frame.add(new Game(), BorderLayout.CENTER);        frame.pack();        frame.setLocationRelativeTo(null);        frame.setVisible(true);    }}"", ""package Game.Window;import java.awt.Dimension;import java.awt.Graphics;import java.awt.event.KeyEvent;import java.awt.event.KeyListener;import javax.swing.JPanel;import Game.Framework.GameStateManager;public class Game extends JPanel implements Runnable, KeyListener{    private static final long serialVersionUID = 1L;    public static final int WIDTH = 800;    public static final int HEIGHT = WIDTH/12*9;    private Thread thread;    private boolean isRunning = true;    private int FPS = 60;    private long targetTime = 1000/FPS;    private GameStateManager gsm;    public Game(){        setPreferredSize(new Dimension(WIDTH, HEIGHT));        start();    }    private void start(){        isRunning = true;        thread = new Thread(this);        thread.start();    }    public void run() {        long start, elapsed, wait;        gsm = new GameStateManager();        while(isRunning){            start = System.nanoTime();            tick();            repaint();            elapsed = System.nanoTime();            wait = targetTime - elapsed/1000000;            if(wait <= 0){                wait = 5;            }            try{                Thread.sleep(wait);            }catch(Exception e){                e.printStackTrace();            }        }    }    public void tick(){        gsm.tick();        // Shows Current FPS: System.out.println(FPS);    }    public void paintComponent(Graphics g){        super.paintComponent(g);        g.clearRect(0, 0, WIDTH, WIDTH);        gsm.draw(g);    }    public void keyPressed(KeyEvent e) {        gsm.keyPressed(e.getKeyCode());    }    public void keyReleased(KeyEvent e) {        gsm.keyReleased(e.getKeyCode());    }    public void keyTyped(KeyEvent e) {    }}"", ""package Game.Framework;import java.awt.Graphics;import java.util.Stack;import Game.States.MainMenu;public class GameStateManager {    private Stack<GameState> states;    public GameStateManager(){        states = new Stack<GameState>();        states.push(new MainMenu(this));    }    public void tick(){        states.peek().tick();    }    public void draw(Graphics g){        states.peek().draw(g);    }    public void keyPressed(int k){        states.peek().keyPressed(k);    }    public void keyReleased(int k){        states.peek().keyReleased(k);    }}"", ""package Game.Framework;import java.awt.Graphics;public abstract class GameState {    protected GameStateManager gsm;    public GameState(GameStateManager gsm){        this.gsm = gsm;        init();    }    public abstract void init();    public abstract void tick();    public abstract void draw(Graphics g);    public abstract void keyPressed(int k);    public abstract void keyReleased(int k);}"", ""package Game.States;import java.awt.Color;import java.awt.Font;import java.awt.Graphics;import Game.Framework.GameState;import Game.Framework.GameStateManager;import Game.Window.Game;public class MainMenu extends GameState{    private String[] options = {\""New Game\"", \""Load Game\"", \""Options\"", \""Exit\""};    private int currentSelection = 0;    public MainMenu(GameStateManager gsm) {        super(gsm);    }    public void init() {}    public void tick() {    }    public void draw(Graphics g) {        for(int i = 0; i < options.length; i++){            if(i == currentSelection){                g.setColor(Color.GREEN);            }else{                g.setColor(Color.BLACK);            }            g.setFont(new Font(\""Arial\"", Font.PLAIN, 24));            g.drawString(options[i], Game.WIDTH/2-50, 50*i*30);        }    }    public void keyPressed(int k) {    }    public void keyReleased(int k) {    }}""]",<java><string><state>,34355371,"Your math looks a little wrong.g.drawString(options[i], Game.WIDTH/2-50, 50 * i + 30);                               //add, not multiply^A couple other things--CODE--","[""class MainMenu extends GameState{    //declare font once    private static final Font ARIAL_24 = new Font(\""Arial\"", Font.PLAIN, 24);    private String[] options = {\""New Game\"", \""Load Game\"", \""Options\"", \""Exit\""};    private int currentSelection = 0;    public MainMenu(GameStateManager gsm) {        super(gsm);    }    public void init() {}    public void tick() {    }    public void draw(Graphics g) {        for(int i = 0; i < options.length; i++){            //simple ternary operator can replace what was here before.            g.setColor(i == currentSelection ? Color.GREEN : Color.BLACK);            //since this never changes make it static and final            //avoid recreating objects in a paint method, or when not neccesary            g.setFont(ARIAL_24);             g.drawString(options[i], Game.WIDTH/2-50, 50 * i + 30);        }    }    public void keyPressed(int k) {    }    public void keyReleased(int k) {    }}""]",Graphical User Interfaces,"{""A selection of Swing components"": 1.0, ""The Swing event model"": 0.6}"
19340120,19340419,"Java, writing my own split string method","I need to be able to write my own split string method so that input like--CODE--will print [ab, #, cd, #, efg, #] to the console.So far I've got it to split like that but my way leaves awkward spaces where 2 delimiters are in a row, or a delimiter is at the start of the input.--CODE--When I use that method in my Test main, I get the output [ab, #, cd, #, efg, #, , , , ]. So I'm lost on how to fix the spacing of it all and I'll also need to be able to allow multiple delimiters which my code currently doesn't handle.Also I know this code is really sloppy at the moment, just trying to lay down the concepts before the optimization.","[""String[] test1 = mySplit(\""ab#cd#efg#\"", \""#\"");System.out.println(Arrays.toString(test1));"", ""public static String[] mySplit(String str, String regex){    String[] storeSplit = new String[str.length()];    char compare1, compare2;    int counter = 0;    //Initializes all the string[] values to \""\"" so when the string    //and char concatonates, 'null' doesn't appear.    for(int i=0; i<str.length(); i++) {        storeSplit[i] = \""\"";    }    //Puts the str values into the split array and concatonates until    //a delimiter is found, then it moves to the next array index.    for(int i=0; i<str.length(); i++) {        compare1 = str.charAt(i);        compare2 = regex.charAt(0);            if(!(compare1 == compare2)) {                storeSplit[counter] += \""\""+str.charAt(i);            } else {                counter++;                storeSplit[counter] = \""\""+str.charAt(i);                counter++;            }    }    return storeSplit;}""]",<java><string><split>,19340419,"The problem is straightforward, you have one offset walking through finding new matches (pos), and another showing then end of the last place you found a match (start).--CODE--This avoid extra looping and copies each character only once.  Actually, because of the way that substring works, no characters are ever copied, only small string objects are created pointing to the original character buffer.  No concatenation of strings is done at all, which is an important consideration.","[""public static String[] mySplit(String str, String regex){    Vector<String> result = new Vector<String>;    int start = 0;    int pos = str.indexOf(regex);    while (pos>=start) {        if (pos>start) {            result.add(str.substring(start,pos));        }        start = pos + regex.length();        result.add(regex);        pos = str.indexOf(regex,start);     }    if (start<str.length()) {        result.add(str.substring(start));    }    String[] array = result.toArray(new String[0]);    return array;}""]",Strings,"{""Operations on Strings"": 0.5}"
796946,,"How can the disable file operation, file selection and filter panel from JFileChooser(JAVA Swing)?","I need to embed JFileChooser dialogbox in a Panel. I only need the file and folder view. How can I disable others panel that are included in dialogBox i.e(file operation, file selection and filter panel) from JFileChooser() dialogBox..Thank you",[],<java><swing><view><jfilechooser>,796967,"You might want to look into using a [JTree](""http://java.sun.com/j2se/1.4.2/docs/api/javax/swing/JTree.html"") to display the file structure.It is fairly easy to convert a File structure into an implementation of a [TreeModel](""http://java.sun.com/j2se/1.4.2/docs/api/javax/swing/tree/TreeModel.html"").Basically I would begin by making a class called FileTreeModel.Then, you can use the top level directory as the root of the Model and go from there.Then, all you need to do is set the TreeModel of a JTree to that of your FileTreeModel.The code for the FileTreeModel may look something like this:--CODE--You will need to implement the rest of the interface.  But it is fairly simple.","[""private File root;public TreeModel(File root){    this.root = root;}public boolean isLeaf(Object node){    File f = (File) node;    return !f.isDirectory();}""]",Graphical User Interfaces,"{""A selection of Swing components"": 1.0}"
35656295,35696158,Define default for JLabel,What's the best way to define a default for this example so I don't have to define the border and font for each object again.--CODE--,"[""Border infoLabelMargin = new EmptyBorder(10, 10, 10, 10);JLabel usernameInfoLabel = new JLabel(\""Benutzer: \"" + GlobalValues.USERNAME);Border usernameInfoLabelBorder = usernameInfoLabel.getBorder();usernameInfoLabel.setFont(new Font(\""SANS_SERIF\"", Font.BOLD, 35));usernameInfoLabel.setBorder(new CompoundBorder(usernameInfoLabelBorder, infoLabelMargin));infoBox.add(usernameInfoLabel);JLabel versionInfoLabel = new JLabel(\""Version: \"" + GlobalValues.VERSION_NUMBER);Border versionInfoLabelBorder = versionInfoLabel.getBorder();versionInfoLabel.setBorder(new CompoundBorder(versionInfoLabelBorder, infoLabelMargin));infoBox.add(versionInfoLabel);""]",<java><swing>,35696158,Code to create labels--CODE--Class that defines the default label--CODE--,"[""infoBox.add(DefaultLayouts.infoLabel(\""Benutzer: \"" + GlobalValues.USERNAME));infoBox.add(DefaultLayouts.infoLabel(\""Version: \"" + GlobalValues.VERSION_NUMBER));"", ""public class DefaultLayouts {    public static JLabel infoLabel(String text) {        JLabel label = new JLabel(text);        Border margin = new EmptyBorder(10, 10, 10, 10);        Border border = label.getBorder();        label.setBorder(new CompoundBorder(border, margin));        return label;    }}""]",Graphical User Interfaces,"{""A selection of Swing components"": 1.0}"
29208311,,How to regain the hex value of a byte in java?,--CODE--I want to obtain the hex value from the character 'ch' as defined in the original byte array i.e. 0x88. Is there any way to get that? ,"[""private static byte[]theTestText ={0x00,0x11,0x22,0x33,0x44,0x55,0x66,0x77,(byte) 0x88,(byte) 0x99,(byte) 0xAA,(byte) 0xBB,(byte) 0xCC,(byte) 0xDD,(byte) 0xEE,(byte) 0xFF};String str= new String(theTestText); // converted the byte array to stringchar ch = str.charAt(8); // extracting a specific character from string""]",<java><string>,29208377,To get the hexa value in a string:    --CODE--,"[""String str= new String(theTestText); // converted the byte array to stringchar ch = str.charAt(8); // extracting a specific character from stringString hex = String.format(\""%04x\"", (int) ch); // Converting the char to a string with its hexadecimal value""]",Strings,"{""Formatting output"": 0.9}"
