41677223,,Grouping regular expression,"Here is my questions:I have a very long string with so many values bounded by the different tags. Those values including chinese, english wording and digits. I wanna to separate by specify pattern. The following is an example:(I want to find a pattern xxxxxx where xxxx is chinese, english, digits or any notation but not include """" as those two symbol is for identify the tags)However, I found some strange for these pattern. The Pattern seems didn't recgonize the first two tag() but the second one--CODE--The output is as same as my String a ","[""String a = \""<f\\\""number\\\"">4  <f\\\""number\\\""><f$n0>14   <h85><f$n0>4    <f$n0>2 <f$n0>2 7   -<f\\\""Times-Roman\\\"">7<f\\\""number\\\"">\"";Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}*\\\\p{sc=Han}*[a-z]*[A-Z]*[0-9]*^<>]*<f\\\""number\\\"">\"");Matcher m = p.matcher(a);while(m.find()){    System.out.println(m.group());}""]",<java><regex>,41677425,The character class [\\P{sc=Han}*\\p{sc=Han}*[a-z]*[A-Z]*[0-9]*^]* matches 0 or more any character because \\P{sc=Han} and \\p{sc=Han} are opposite.I guess you want:--CODE--You may want to add spaces:--CODE--or:--CODE--,"[""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}a-zA-Z0-9]*<f\\\""number\\\"">\"");"", ""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[\\\\P{sc=Han}a-zA-Z0-9\\s]*<f\\\""number\\\"">\"");"", ""Pattern p = Pattern.compile(\""<f\\\""number\\\"">[^<]*<f\\\""number\\\"">\"");""]",Strings,"{""Regular expressions"": 1.0}"
796946,,"How can the disable file operation, file selection and filter panel from JFileChooser(JAVA Swing)?","I need to embed JFileChooser dialogbox in a Panel. I only need the file and folder view. How can I disable others panel that are included in dialogBox i.e(file operation, file selection and filter panel) from JFileChooser() dialogBox..Thank you",[],<java><swing><view><jfilechooser>,796967,"You might want to look into using a [JTree](""http://java.sun.com/j2se/1.4.2/docs/api/javax/swing/JTree.html"") to display the file structure.It is fairly easy to convert a File structure into an implementation of a [TreeModel](""http://java.sun.com/j2se/1.4.2/docs/api/javax/swing/tree/TreeModel.html"").Basically I would begin by making a class called FileTreeModel.Then, you can use the top level directory as the root of the Model and go from there.Then, all you need to do is set the TreeModel of a JTree to that of your FileTreeModel.The code for the FileTreeModel may look something like this:--CODE--You will need to implement the rest of the interface.  But it is fairly simple.","[""private File root;public TreeModel(File root){    this.root = root;}public boolean isLeaf(Object node){    File f = (File) node;    return !f.isDirectory();}""]",Graphical User Interfaces,"{""A selection of Swing components"": 1.0}"
29208311,,How to regain the hex value of a byte in java?,--CODE--I want to obtain the hex value from the character 'ch' as defined in the original byte array i.e. 0x88. Is there any way to get that? ,"[""private static byte[]theTestText ={0x00,0x11,0x22,0x33,0x44,0x55,0x66,0x77,(byte) 0x88,(byte) 0x99,(byte) 0xAA,(byte) 0xBB,(byte) 0xCC,(byte) 0xDD,(byte) 0xEE,(byte) 0xFF};String str= new String(theTestText); // converted the byte array to stringchar ch = str.charAt(8); // extracting a specific character from string""]",<java><string>,29208377,To get the hexa value in a string:    --CODE--,"[""String str= new String(theTestText); // converted the byte array to stringchar ch = str.charAt(8); // extracting a specific character from stringString hex = String.format(\""%04x\"", (int) ch); // Converting the char to a string with its hexadecimal value""]",Strings,"{""Formatting output"": 0.9}"
36580364,,How to Layout these components on JPanel?,"I made a small GUI application that only has the presentation tier right now. It constructs the basic GUI, (but no logic added yet). I'm having trouble with laying out controls/components such as text fields and Buttons.Here's the code:Main.java--CODE--Client.java--CODE--The components all appear next to each other, and it's not that I expected otherwise, but no matter what layout I tried (unless I did it wrong), it doesn't change.Do I have to override something maybe?","[""public class Main {    public static void main(String[] args) {    // Make a new Client (TempConverter application)    Client client = new Client();    }}"", ""import javax.swing.JButton;import javax.swing.JFrame;import javax.swing.JPanel;import javax.swing.JTextField;public class Client extends JFrame{    private JPanel panel;    private JTextField inputTextBox;    private JTextField outputTextBox;    private JButton convertButton;    public Client(){        panel = new JPanel();        inputTextBox = new JTextField(6);        outputTextBox = new JTextField(6);        convertButton = new JButton(\""Convert!\"");        ConstructGUI();    }    private void ConstructGUI(){        this.setTitle(\""Temerature Converter\"");        this.setSize(300, 400);        PanelLayout();        this.setVisible(true);        this.setDefaultCloseOperation(EXIT_ON_CLOSE);    }    private void PanelLayout(){        this.add(panel);        panel.add(inputTextBox);        panel.add(outputTextBox);        panel.add(convertButton);    }}""]",<java><swing><layout-manager>,36580733,You can use BoxLayout to have them stacked on top of each other.--CODE--,"[""private void PanelLayout(){    this.add(panel);    //next three lines aligning the components horizontally    inputTextBox.setAlignmentX(Component.CENTER_ALIGNMENT);    outputTextBox.setAlignmentX(Component.CENTER_ALIGNMENT);    convertButton.setAlignmentX(Component.CENTER_ALIGNMENT);    //aligning horizontally end. If you don't want the align them horizontally just remove these three lines.    panel.setLayout(new BoxLayout(panel, BoxLayout.Y_AXIS));    panel.add(Box.createVerticalGlue());//remove this line if you don't want to center them vertically    panel.add(inputTextBox);    panel.add(outputTextBox);    panel.add(convertButton);    panel.add(Box.createVerticalGlue());//remove this line if you don't want to center them vertically}""]",Graphical User Interfaces,"{""Controlling layout"": 0.8, ""A selection of Swing components"": 0.7}"
24234586,24234878,Exit Button not working from Frame to Panel,"Warning: Beginner programming trying to Understand her homework!! Will ask dumb questions!--CODE--Here is my main frame code.And here is my Panel code that contains the Exit Button.--CODE--I've tried over and over to get the exit button to work, half of the time the program works but when I push the exit button nothing happens.I am suppose to get it to the point where I click the Exit button, it ask if Im sure I want to exit, if I push no it doesn't if i push yes it does. ","[""import javax.swing.*;import java.awt.event.ActionListener;import java.awt.event.*;import java.awt.*;import java.awt.event.ActionEvent;import java.awt.event.ActionListener;import javax.swing.JButton;import javax.swing.JFrame;public class StudentGUI extends JFrame implements ActionListener {    public StudentGUI()    {            super(\""StudentGUI Frame\"");      //TopPanel     TopPanel tp;     tp=new TopPanel();     Dimension d = new Dimension(800,600);     tp.setPreferredSize(d);     this.add (tp, BorderLayout.NORTH);     tp.setVisible(true);     this.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);     this.setSize(800,600);        setBackground(Color.PINK);        tp.setVisible(true);        //TopPanel End        //BottomPanel        BottomPanel bp;     bp=new BottomPanel();     this.add (bp, BorderLayout.SOUTH);     tp.setVisible(true);     this.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);     this.setSize(800,600);        //BottomPanel End        //MiddlePanel     MiddlePanel mp;     mp=new MiddlePanel();     this.add (mp, BorderLayout.CENTER);     mp.setVisible(true);     this.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);     this.setSize(800,600);        //MiddlePanel End        this.setVisible(true);    }    exitBtn.addActionListener(new ActionListener() {    @Override    public void actionPerformed(ActionEvent e){  int selectedOption = JOptionPane.showConfirmDialog(null,                               \""Do you want to close the window?\"",                               \""Choose\"",                               JOptionPane.YES_NO_OPTION);     if (selectedOption == JOptionPane.YES_OPTION) {        System.exit(1));}} }    public static void main(String[] args)    {        new StudentGUI();    }}"", ""import javax.swing.*;import java.awt.*;import java.awt.event.ActionListener;import java.awt.event.*;public class BottomPanel extends JPanel {public String findbtn=\""\"";public String insertBtn=\""\"";public String updateBtn=\""\"";public String deleteBtn=\""\"";public String exitBtn=\""\"";public BottomPanel() {   JButton findbtn;     findbtn=new JButton(\""Find\"");        add(findbtn);           JButton insertBtn;     insertBtn=new JButton(\""Insert\"");        add(insertBtn);           JButton updateBtn;     updateBtn=new JButton(\""Update\"");        add(updateBtn);           JButton deleteBtn;     deleteBtn=new JButton(\""Delete\"");        add(deleteBtn);        JButton exitBtn;     exitBtn=new JButton(\""Exit\"");        add(exitBtn);         exitBtn.addActionListener;}}""]",<java><swing>,24234878,"I explained all my changes in the comments, this should work as long as your TopPanel and MiddlePanel classes have no problems. I just commented out those lines when testing it.Change the first class to--CODE--Your second class should be--CODE--","[""import javax.swing.*;import java.awt.event.ActionListener;import java.awt.event.*;import java.awt.*;import java.awt.event.ActionEvent;import java.awt.event.ActionListener;import javax.swing.JButton;import javax.swing.JFrame;// removed implements ActionListenerpublic class StudentGUI extends JFrame {    public StudentGUI() {        super(\""StudentGUI Frame\"");        //TopPanel        TopPanel tp;        tp=new TopPanel();        Dimension d = new Dimension(800,600);        tp.setPreferredSize(d);        this.add (tp, BorderLayout.NORTH);        tp.setVisible(true);        this.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);        this.setSize(800,600);        setBackground(Color.PINK);        tp.setVisible(true);        //TopPanel End        //BottomPanel        BottomPanel bp;        bp=new BottomPanel();        this.add (bp, BorderLayout.SOUTH);        tp.setVisible(true);        this.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);        this.setSize(800,600);        //BottomPanel End        //MiddlePanel         MiddlePanel mp;        mp=new MiddlePanel();        this.add (mp, BorderLayout.CENTER);        mp.setVisible(true);        this.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);        this.setSize(800,600);        //MiddlePanel End        this.setVisible(true);        /* moved action listener within method,          * used bp.exitBtn instead of exitBtn         */        bp.exitBtn.addActionListener(new ActionListener() {                @Override                public void actionPerformed(ActionEvent e){                    int selectedOption =                        JOptionPane.showConfirmDialog(null,                                                       \""Do you want to close the window?\"",                                                       \""Choose\"",                                                       JOptionPane.YES_NO_OPTION);                     if (selectedOption == JOptionPane.YES_OPTION) {                        System.exit(1);                    }                }            }); // fixed braces, the closing paren should go here    }    public static void main(String[] args) {        new StudentGUI();    }}"", ""import javax.swing.*;import java.awt.*;import java.awt.event.ActionListener;import java.awt.event.*;public class BottomPanel extends JPanel {    /* instead of strings, added references to JButtons     * so that they can be accessed from other classes     */    public JButton findbtn;    public JButton insertBtn;    public JButton updateBtn;    public JButton deleteBtn;    public JButton exitBtn;    public BottomPanel() {        findbtn=new JButton(\""Find\"");        add(findbtn);        insertBtn=new JButton(\""Insert\"");        add(insertBtn);        updateBtn=new JButton(\""Update\"");        add(updateBtn);        deleteBtn=new JButton(\""Delete\"");        add(deleteBtn);        exitBtn=new JButton(\""Exit\"");        add(exitBtn);    }}""]",Graphical User Interfaces,"{""Capturing an event"": 0.8, ""The Swing event model"": 0.8}"
36799497,,Java Thread Scheduling: More busy wait threads than processors?,"I created a small dummy program that tests Java Thread scheduling:  @Test  public void testThreadScheduling() throws Exception {    int nprocs = Runtime.getRuntime().availableProcessors();    System.out.println(String.format(""I have %s processors available"", nprocs));    // schedule more threads than I have processors    for (int i = 0; i  {        System.out.println(String.format(""Thread %s has been scheduled"", thread));        while (true) { /* busy wait */ }      })).start();      // wait a little before spawning the next thread      Thread.sleep(100);    }  }Now the output to this is (every single time I run it) exactly the same:--CODE--I figure that the reason that it's possible that this even happens is because the OS (or JVM) is preempting threads that have run past their quanta, my question, however, is what policy does it use and is it the OS that's doing the preempting or is it the JVM? Any more details about what could be going on underneath the hood would be especially appreciated! java version ""1.8.0_40""Java(TM) SE Runtime Environment (build 1.8.0_40-b26)Java HotSpot(TM) 64-Bit Server VM (build 25.40-b25, mixed mode)","[""I have 12 processors availableThread 0 has been scheduledThread 1 has been scheduledThread 2 has been scheduledThread 3 has been scheduled...Thread 15 has been scheduledThread 16 has been scheduled""]",<java><multithreading>,36799869,"It's definitely the Operating System's job to handle thread scheduling. How scheduling is actually accomplished is up to the O/S, and in some cases, up to the user if the O/S allows users to set flags for thread priority. If you're interested in quantifying how this happens, you could measure the actual time elapsed at the end of your for-loop and see if each iteration is waiting significantly longer than your 100 ms sleep time after the 12th thread starts. Another option could be to use the following code snippet to grab your JVM's ThreadMXBean instance and peruse its thread contention stats:--CODE--If you keep track of your thread's startup time in epoch millis, you can use it in conjunction with these last two methods to know how long the thread spent actually running on the CPU vs waiting for other threads. I think the measurements provided by this ThreadInfo object are strictly tied to using the synchronized keyword and Java Lock objects, however, so it may not be an accurate assessment of what your O/S is doing if your threads are otherwise unblocked but are pre-empted by the OS. You could calculate the total non-waiting/non-blocking time and compare that to how much time was actually available for your threads to run, and the difference would give you the total time your threads were pre-empted by your O/S.I suspect this probably doesn't give you the level of detail you're looking for, but I think this is about as close as you can get without writing a bunch of native, O/S-specific code and using JNI to access it within your Java program.","[""ThreadMXBean threadMXBean = ManagementFactory.getThreadMXBean();threadMXBean.setThreadContentionMonitoringEnabled(true);//Then, use specific thread IDs to get contention info periodically:int threadID = ... //you can use getId() on each thread you createdThreadInfo info = threadMXBean.getThreadInfo(threadID);info.getBlockedTime(); //returns millisinfo.getWaitedTime(); //returns millis""]",Concurrency,"{""Basic threading"": 0.9}"
18738573,,FileUtils.iterateFiles IGNORECASE,"I need to find files in directories and subdirectories by type of extension and ignorecase mode, this is my code:--CODE--I also need to return the files with extension like Doc, Doc, ...  ignorecase","[""String[] patron = {\""doc\"", \""xls\"", \""ppt\""};Iterator iter =  FileUtils.iterateFiles(new File(directories), patron, true);""]",<java><file><file-io><apache-commons-io>,18739011,Use the other version of the method and pass your own filter:--CODE--Notice the use of IOCase.INSENSITIVE.,"[""String[] extensions = new String[] {\""doc\"", \""xls\"", \""ppt\""};IOFileFilter filter = new SuffixFileFilter(extensions, IOCase.INSENSITIVE);Iterator iter = FileUtils.iterateFiles(new File(directorio), filter, DirectoryFileFilter.DIRECTORY);""]",IO,"{""The File class"": 0.9}"
16745252,16745532,How to to call JInternalFrame from another JInternalFrame?,"it is posible ?? call JInternalFrame from another JInternalFrame ??if so how?i've looking for the answer over many hours..found some question before..in here [I dont know that means getInstance? I think thts a container for a contentPane..same as this questionis there any way call other JinternalFrame from an JinternalFrame but, in the desktopPane of of main Jframe.](""https://stackoverflow.com/questions/15420401/how-to-manage-a-jinternalframe-calling-another-jinternalframe"">How)both of that didnt give a right answer. the error always like this..--CODE--help me, I've spend my day for this sad question...or for a another way it is posible blind/return a value to the main JFrame??? thanks u :)","[""Exception in thread \""AWT-EventQueue-0\"" java.lang.NullPointerException""]",<java><swing><call><jinternalframe>,16745532,"This depends.  If you only want to interact with the other JInternalFrame itself (and not a specific instance of the frame), you could use [JDesktopPane#getAllFrames](""http://docs.oracle.com/javase/7/docs/api/javax/swing/JDesktopPane.html#getAllFrames%28%29"")If you need to execute a specific/custom method, you would actually be better passing a reference of the frame to the frame that wants to call it...Or even better, develop some kind of model that can be modified and fire events, separating the logic from user interface",[],Graphical User Interfaces,"{""The Swing event model"": 0.7}"
18119829,,How to split the string with bullets(All types)using regex in java,Below is my text--CODE--I want to split the text based on below pattern and remove the bullets--CODE--So i want to generate following result--CODE--sam.txtThanks,"["" Welcome to java programming 1) Oops concepts a) Encapsulation A) Abstraction I) Inheritance  • Polymorphism2)sample program on java 1.Project source code sample text files • sample.txt b)sam.txt"", ""1)any bullet 1)I)a)A)•2)followed by space3)followed by uppercase word"", ""Welcome to java programming Oops concepts Encapsulation AbstractionInheritance  Polymorphismsample program on javaProject source codePlease suggest me how to do thissample text filessample.txt""]",<java><regex><split>,18119930,This will work:--CODE--The regex is--CODE--\\s* - zero or more spaces(\\w\\)|•) - a digit or letter followed by a bracket or a bullet point\\s* - zero or more spacesOutput:--CODE--,"[""public static void main(String[] args) throws Exception {    final String s = \""Welcome to java programming 1) Oops concepts a) Encapsulation A) Abstraction I) Inheritance  • Polymorphism\"";    final String[] split = s.split(\""\\\\s*(\\\\w\\\\)|•)\\\\s*\"");    for (final String bullet : split) {        System.out.println(bullet);    }}"", ""\\\\s*(\\\\w\\\\)|•)\\\\s*"", ""Welcome to java programmingOops conceptsEncapsulationAbstractionInheritancePolymorphism""]",Strings,"{""Regular expressions"": 0.95}"
13698941,13698983,Java Showing correct Incorrect,"I am having this problem which should not be a problem i have written this code--CODE--Everything works fine, i.e. database and all. I giving the same answer as the database string, but I get this result which is not fine and also the result says all strings are the same answer, but why I still don't get in the true condition I am getting the false condition my answer in console.--CODE--","[""import java.sql.Connection;import java.sql.DriverManager;import java.sql.ResultSet;import java.sql.Statement;import java.util.Scanner;/** * @author ZEESHAN */public class TestApps {    /**     * @param args the command line arguments     */    public static void main(String[] args)     {        // TODO code application logic here        Connection con;        // Statement stmt;        ResultSet rs;        String str,str2,str3;        try         {            Class.forName(\""sun.jdbc.odbc.JdbcOdbcDriver\"");            con=DriverManager.getConnection(\""jdbc:odbc:TestApp\"");            Statement stmt =  con.createStatement();            System.out.println(\""Connected\"");            rs=stmt.executeQuery(\""SELECT Emp_Name,Emp_LastName FROM Table_1 WHERE Emp_Name = 'zeeshan' \"");            while(rs.next())             {                str = rs.getString(\""Emp_Name\"");                str2 = rs.getString(\""Emp_LastName\"");                String name,pass;                    Scanner input = new Scanner(System.in);                name = input.nextLine();                pass = input.nextLine();                if(name.equals(str) &amp;&amp; pass.equals(str2) )                {                    System.out.println(\""CORRECT\"");                }                else                {                    System.out.println(\""INCORRECT\"");                    System.out.println(\""\""+name);                    System.out.println(\""\""+pass);                    System.out.println(\""\""+str);                    System.out.println(\""\""+str2);                }            }            //  String name,pass;                /*               if(name.equals(str) &amp;&amp; pass.equals(str2) )            {                System.out.println(\""Correct\"");            }            else            {                System.out.println(\""Incorrect\"");            }            */        }        catch (Exception ex)        {            System.out.println(\""Not connected\"");            ex.printStackTrace();        }    }}"", ""RESULT: INCORRECT zeeshan ismail zeeshan    ismail  ""]",<java><string><equals>,13698983,There are trailing spaces in the value of str and str2. You have to trim to values before comparing the string.--CODE--,"[""str = str.trim();str2 = str2.trim();""]",Strings,"{""Operations on Strings"": 0.8}"
13197786,13198024,How to create a download button/link in java swing?,Is there a way to create a download button on java swing? I tried searching the internet for an answer but I only got links on how to create a download link on jsp/servlet,[],<java><swing><download>,13198024,"Create a JButton whose ActionListeners ActionPerformed function performs the file download.Here is a stackoverflow link on how to download files from a url with JavaHow to download and save a file from Internet using Java?Here is an example, not tested--CODE--","[""...JButton jb = new JButton('Download Button');jb.addActionListener(new ActionListener() {    public void actionPerformed(ActionEvent e) {        // Download file        URL url = new URL('www.example.com/example_file.jpg');        File f = new File('...');        org.apache.commons.io.FileUtils.copyURLToFile(url, f);    }});...""]",Graphical User Interfaces,"{""A selection of Swing components"": 0.9, ""Making a button"": 0.95}"
