382,384,What is the meaning of the type safety warning in certain Java generics casts?,"What is the meaning of the Java warning?  Type safety: The cast from Object to List is actually checking against the erased type ListI get this warning when I try to cast an Object to a type with generic information, such as in the following code:--CODE--","[""Object object = getMyList();List<Integer> list = (List<Integer>) object;""]",<java><generics><warnings><casting><type-safety>,384,"This warning is there because Java is not actually storing type information at run-time in an object that uses generics.  Thus, if object is actually a List, there will be no ClassCastException at run-time except until an item is accessed from the list that doesn't match the generic type defined in the variable.  This can cause further complications if items are added to the list, with this incorrect generic type information.  Any code still holding a reference to the list but with the correct generic type information will now have an inconsistent list.  To remove the warning, try:--CODE--However, note that you will not be able to use certain methods such as add because the compiler doesn't know if you are trying to add an object of incorrect type.  The above will work in a lot of situations, but if you have to use add, or some similarly restricted method, you will just have to suffer the yellow underline in Eclipse (or a SuppressWarning annotation).","[""List<?> list = (List<?>) object;""]",Generic Programming,"{""Restrictions and Limitations"": 1.35, ""Defining a Simple Generic Class"": 0.3, ""Generic Code and the Virtual Machine"": 0.7}"
2158,2245,Creating a custom JButton in Java,"Is there a way to create a JButton with your own button graphic and not just with an image inside the button? If not, is there another way to create a custom JButton in java?",[],<java><swing><jbutton>,2245,"When I was first learning Java we had to make Yahtzee and I thought it would be cool to create custom Swing components and containers instead of just drawing everything on one JPanel.  The benefit of extending Swing components, of course, is to have the ability to add support for keyboard shortcuts and other accessibility features that you can't do just by having a paint() method print a pretty picture.  It may not be done the best way however, but it may be a good starting point for you.Edit 8/6 - If it wasn't apparent from the images, each Die is a button you can click. This will move it to the DiceContainer below.  Looking at the source code you can see that each Die button is drawn dynamically, based on its value.Here are the basic steps:Create a class that extends JComponentCall parent constructor super() in your constructorsMake sure you class implements MouseListenerPut this in the constructor:--CODE--Override these methods:--CODE--Override this method:--CODE--The amount of space you have to work with when drawing your button is defined by getPreferredSize(), assuming getMinimumSize() and getMaximumSize() return the same value.  I haven't experimented too much with this but, depending on the layout you use for your GUI your button could look completely different.And finally, the [source code](""https://github.com/kdeloach/labs/blob/master/java/yahtzee/src/Dice.java"").  In case I missed anything.  ","[""enableInputMethods(true);   addMouseListener(this);"", ""public Dimension getPreferredSize()  public Dimension getMinimumSize()  public Dimension getMaximumSize()"", ""public void paintComponent(Graphics g)""]",User Interface Components with Swing,"{""Sophisticated Layout Management"": 0.8, ""Introduction to Layout Management"": 0.6}"
2968,2985,What are the different methods to parse strings in Java?,"For parsing player commands, I've most often used the [split](""http://docs.oracle.com/javase/6/docs/api/java/lang/String.html#split%28java.lang.String%29"") method to split a string by delimiters and then to then just figure out the rest by a series of ifs or switches. What are some different ways of parsing strings in Java?",[],<java><string><parsing>,2985,"I assume you're trying to make the command interface as forgiving as possible. If this is the case, I suggest you use an algorithm similar to this:Read in the stringSplit the string into tokensUse a dictionary to convert synonyms to a common form For example, convert ""hit"", ""punch"", ""strike"", and ""kick"" all to ""hit""Perform actions on an unordered, inclusive baseUnordered - ""punch the monkey in the face"" is the same thing as ""the face in the monkey punch""Inclusive - If the command is supposed to be ""punch the monkey in the face"" and they supply ""punch monkey"", you should check how many commands this matches. If only one command, do this action. It might even be a good idea to have command priorities, and even if there were even matches, it would perform the top action.",[],Fundamental Programming Structures in Java,"{""Strings"": 1.55}"
4149,154588,How do I use Java to read from a file that is actively being written to?,"I have an application that writes information to file. This information is used post-execution to determine pass/failure/correctness of the application. I'd like to be able to read the file as it is being written so that I can do these pass/failure/correctness checks in real time.I assume it is possible to do this, but what are the gotcha's involved when using Java? If the reading catches up to the writing, will it just wait for more writes up until the file is closed, or will the read throw an exception at this point? If the latter, what do I do then? My intuition is currently pushing me towards BufferedStreams. Is this the way to go?",[],<java><file><file-io>,154588,"Could not get the example to work using FileChannel.read(ByteBuffer) because it isn't a blocking read. Did however get the code below to work:--CODE--Of course the same thing would work as a timer instead of a thread, but I leave that up to the programmer. I'm still looking for a better way, but this works for me for now.Oh, and I'll caveat this with: I'm using 1.4.2. Yes I know I'm in the stone ages still.","[""boolean running = true;BufferedInputStream reader = new BufferedInputStream(new FileInputStream( \""out.txt\"" ) );public void run() {    while( running ) {        if( reader.available() > 0 ) {            System.out.print( (char)reader.read() );        }        else {            try {                sleep( 500 );            }            catch( InterruptedException ex ) {                running = false;            }        }    }}""]",Fundamental Programming Structures in Java,"{""Input and Output"": 1.8}"
6639,,How should I load files into my Java application?,How should I load files into my Java application?,[],<java><file><loading>,6640,"The short answerUse one of these two methods:[Class.getResource(String)](""http://java.sun.com/javase/6/docs/api/java/lang/Class.html#getResource(java.lang.String)"")[Class.getResourceAsStream(String)](""http://java.sun.com/javase/6/docs/api/java/lang/Class.html#getResourceAsStream(java.lang.String)"")For example:--CODE----The long answerTypically, one would not want to load files using absolute paths. For example, don__ do this if you can help it:--CODE--This technique is not recommended for at least two reasons. First, it creates a dependency on a particular operating system, which prevents the application from easily moving to another operating system. One of Java__ main benefits is the ability to run the same bytecode on many different platforms. Using an absolute path like this makes the code much less portable.Second, depending on the relative location of the file, this technique might create an external dependency and limit the application__ mobility. If the file exists outside the application__ current directory, this creates an external dependency and one would have to be aware of the dependency in order to move the application to another machine (error prone).Instead, use the getResource() methods in the Class class. This makes the application much more portable. It  can be moved to different platforms, machines, or directories and still function correctly.","[""InputStream inputStream = YourClass.class.getResourceAsStream(\""image.jpg\"");"", ""File file = new File(\""C:\\\\Users\\\\Joe\\\\image.jpg\"");""]",Fundamental Programming Structures in Java,"{""Input and Output"": 0.9}"
7269,46902,How can I identify in which Java Applet context running without passing an ID?,"I'm part of a team that develops a pretty big Swing Java Applet. Most of our code are legacy and there are tons of singleton references. We've bunched all of them to a single ""Application Context"" singleton. What we now need is to create some way to separate the shared context (shared across all applets currently showing) and non-shared context (specific to each applet currently showing). However, we don't have an ID at each of the locations that call to the singleton, nor do we want to propagate the ID to all locations. What's the easiest way to identify in which applet context we're running? (I've tried messing with classloaders, thread groups, thread ids... so far I could find nothing that will enable me to ID the origin of the call).",[],<java><swing><applet>,46902,"Singletons are evil, what do you expect? ;)Perhaps the most comprehensive approach would be to load the bulk of the applet in a different class loader (use java.net.URLClassLoader.newInstance). Then use a WeakHashMap to associate class loader with an applet. If you could split most of the code into a common class loader (as a parent of each per-applet class loader) and into the normal applet codebase, that would be faster but more work.Other hacks:If you have access to any component, you can use Component.getParent repeatedly or SwingUtilities.getRoot.If you are in a per-applet instance thread, then you can set up a ThreadLocal.From the EDT, you can read the current event from the queue (java.awt.EventQueue.getCurrentEvent()), and possibly find a component from that. Alternatively push an EventQueue with a overridden dispatchEvent method.",[],Graphical User Interface Programming,"{""Event Handling"": 0.7}"
7681,7688,Test serialization encoding,"What is the best way to verify/test that a text string is serialized to a byte array with a certain encoding?In my case, I want to verify that an XML structure is serialized to a byte array with the UTF-8 encoding which is of variable character length. As an example, my current ugly procedure is to inject a character known to require two bytes into the structure before serializing, then replacing the two-byte character with an ASCII character and comparing the serialized array lengths. This should yield two serialized arrays where the array containing the two-byte characters should have length +1.Plus if the solution is elegant for Java. I can't think of any elegant way to seek for a byte sequence in a byte array. (Could be used to seek for a known byte sequence representing the desired character representation in UTF-8.)",[],<java><xml><string><serialization><encoding>,7688,"Perhaps you could deserialise the byte array using a known encoding and ensure that (a) it doesn't throw any exceptions, and (b) deserialises to the original string. It seems that from your description of the scenario, you may not have the original string readily available. Might there be a way to create it?",[],Fundamental Programming Structures in Java,"{""Strings"": 1.35}"
10586,10713,Small modification to an XML document using StAX,"I'm currently trying to read in an XML file, make some minor changes (alter the value of some attributes), and write it back out again.I have intended to use a StAX parser (javax.xml.stream.XMLStreamReader) to read in each event, see if it was one I wanted to change, and then pass it straight on to the StAX writer (javax.xml.stream.XMLStreamReader) if no changes were required.Unfortunately, that doesn't look to be so simple - The writer has no way to take an event type and a parser object, only methods like writeAttribute and writeStartElement. Obviously I could write a big switch statement with a case for every possible type of element which can occur in an XML document, and just write it back out again, but it seems like a lot of trouble for something which seems like it should be simple.Is there something I'm missing that makes it easy to write out a very similar XML document to the one you read in with StAX?",[],<java><xml><stax>,10713,"StAX works pretty well and is very fast. I used it in a project to parse XML files which are up to 20MB. I don't have a thorough analysis, but it was definitely faster than SAX. As for your question: The difference between streaming and event-handling, AFAIK is control. With the streaming API you can walk through your document step by step and get the contents you want. Whereas the event-based API you can only handle what you are interested in.",[],Fundamental Programming Structures in Java,"{""Input and Output"": 1.05}"
18524,18529,Converting List<Integer> to List<String>,"I have a list of integers, List and I'd like to convert all the integer objects into Strings, thus finishing up with a new List.Naturally, I could create a new List and loop through the list calling String.valueOf() for each integer, but I was wondering if there was a better (read: more automatic) way of doing it?",[],<java><string><collections><integer>,18529,"As far as I know, iterate and instantiate is the only way to do this.  Something like (for others potential help, since I'm sure you know how to do this):--CODE--","[""List<Integer> oldList = .../* Specify the size of the list up front to prevent resizing. */List<String> newList = new ArrayList<String>(oldList.size()) for (Integer myInt : oldList) {   newList.add(String.valueOf(myInt)); }""]",Fundamental Programming Structures in Java,"{""Strings"": 1.45}"
19893,19904,How do you embed binary data in XML?,"I have two applications written in Java that communicate with each other using XML messages over the network.  I'm using a SAX parser at the receiving end to get the data back out of the messages.  One of the requirements is to embed binary data in an XML message, but SAX doesn't like this.  Does anyone know how to do this?UPDATE:  I got this working with the [Base64](""http://commons.apache.org/codec/apidocs/org/apache/commons/codec/binary/Base64.html"") class from the [apache commons codec library](""http://commons.apache.org/codec/""), in case anyone else is trying something similar.",[],<java><xml><binary><binary-data>,19904,"You could encode the binary data using base64 and put it into a Base64 element; the below article is a pretty good one on the subject.[Handling Binary Data in XML Documents](""http://www.xml.com/pub/a/98/07/binary/binary.html"")",[],Fundamental Programming Structures in Java,"{""Input and Output"": 0.5, ""Strings"": 0.55}"
20880,20901,Java JPanel redraw issues,"I have a Java swing application with a panel that contains three JComboBoxes that do not draw properly.The combox boxes just show up as the down arrow on the right side, but without the label of the currently selected value.The boxes will redraw correctly if the window is resized either bigger or smaller by even one pixel.All of my googling has pointed to calling revalidate() on the JPanel to fix this, but that hasn't worked for me.Calling updateUI() on the JPanel has changed it from always displaying incorrectly to displaying incorrectly half of the time.  Has anyone else seen this and found a different way to force a redraw of the combo boxes?",[],<java><swing><jpanel>,20901,"Can you give us some more information on how you add the combo boxes to the JPanel?  This is a pretty common thing to do in Swing so I doubt that it's a JVM issue but I guess anything is possible.Specifically, I would double check to make sure you're not accessing the GUI from any background threads.  In this case, maybe you're reading the choices from a DB or something and updating the JComboBox from a background thread, which is a big no-no in Swing.  See SwingUtils.invokeLater().",[],User Interface Components with Swing,"{""Choice Components"": 1.7000000000000002}"
