4149,154588,How do I use Java to read from a file that is actively being written to?,"I have an application that writes information to file. This information is used post-execution to determine pass/failure/correctness of the application. I'd like to be able to read the file as it is being written so that I can do these pass/failure/correctness checks in real time.I assume it is possible to do this, but what are the gotcha's involved when using Java? If the reading catches up to the writing, will it just wait for more writes up until the file is closed, or will the read throw an exception at this point? If the latter, what do I do then? My intuition is currently pushing me towards BufferedStreams. Is this the way to go?",[],<java><file><file-io>,154588,"Could not get the example to work using FileChannel.read(ByteBuffer) because it isn't a blocking read. Did however get the code below to work:--CODE--Of course the same thing would work as a timer instead of a thread, but I leave that up to the programmer. I'm still looking for a better way, but this works for me for now.Oh, and I'll caveat this with: I'm using 1.4.2. Yes I know I'm in the stone ages still.","[""boolean running = true;BufferedInputStream reader = new BufferedInputStream(new FileInputStream( \""out.txt\"" ) );public void run() {    while( running ) {        if( reader.available() > 0 ) {            System.out.print( (char)reader.read() );        }        else {            try {                sleep( 500 );            }            catch( InterruptedException ex ) {                running = false;            }        }    }}""]",Fundamental Programming Structures in Java,"{""Input and Output"": 1.8}"
6639,,How should I load files into my Java application?,How should I load files into my Java application?,[],<java><file><loading>,6640,"The short answerUse one of these two methods:[Class.getResource(String)](""http://java.sun.com/javase/6/docs/api/java/lang/Class.html#getResource(java.lang.String)"")[Class.getResourceAsStream(String)](""http://java.sun.com/javase/6/docs/api/java/lang/Class.html#getResourceAsStream(java.lang.String)"")For example:--CODE----The long answerTypically, one would not want to load files using absolute paths. For example, don__ do this if you can help it:--CODE--This technique is not recommended for at least two reasons. First, it creates a dependency on a particular operating system, which prevents the application from easily moving to another operating system. One of Java__ main benefits is the ability to run the same bytecode on many different platforms. Using an absolute path like this makes the code much less portable.Second, depending on the relative location of the file, this technique might create an external dependency and limit the application__ mobility. If the file exists outside the application__ current directory, this creates an external dependency and one would have to be aware of the dependency in order to move the application to another machine (error prone).Instead, use the getResource() methods in the Class class. This makes the application much more portable. It  can be moved to different platforms, machines, or directories and still function correctly.","[""InputStream inputStream = YourClass.class.getResourceAsStream(\""image.jpg\"");"", ""File file = new File(\""C:\\\\Users\\\\Joe\\\\image.jpg\"");""]",Fundamental Programming Structures in Java,"{""Input and Output"": 0.9}"
20880,20901,Java JPanel redraw issues,"I have a Java swing application with a panel that contains three JComboBoxes that do not draw properly.The combox boxes just show up as the down arrow on the right side, but without the label of the currently selected value.The boxes will redraw correctly if the window is resized either bigger or smaller by even one pixel.All of my googling has pointed to calling revalidate() on the JPanel to fix this, but that hasn't worked for me.Calling updateUI() on the JPanel has changed it from always displaying incorrectly to displaying incorrectly half of the time.  Has anyone else seen this and found a different way to force a redraw of the combo boxes?",[],<java><swing><jpanel>,20901,"Can you give us some more information on how you add the combo boxes to the JPanel?  This is a pretty common thing to do in Swing so I doubt that it's a JVM issue but I guess anything is possible.Specifically, I would double check to make sure you're not accessing the GUI from any background threads.  In this case, maybe you're reading the choices from a DB or something and updating the JComboBox from a background thread, which is a big no-no in Swing.  See SwingUtils.invokeLater().",[],User Interface Components with Swing,"{""Choice Components"": 1.7000000000000002}"
2158,2245,Creating a custom JButton in Java,"Is there a way to create a JButton with your own button graphic and not just with an image inside the button? If not, is there another way to create a custom JButton in java?",[],<java><swing><jbutton>,2245,"When I was first learning Java we had to make Yahtzee and I thought it would be cool to create custom Swing components and containers instead of just drawing everything on one JPanel.  The benefit of extending Swing components, of course, is to have the ability to add support for keyboard shortcuts and other accessibility features that you can't do just by having a paint() method print a pretty picture.  It may not be done the best way however, but it may be a good starting point for you.Edit 8/6 - If it wasn't apparent from the images, each Die is a button you can click. This will move it to the DiceContainer below.  Looking at the source code you can see that each Die button is drawn dynamically, based on its value.Here are the basic steps:Create a class that extends JComponentCall parent constructor super() in your constructorsMake sure you class implements MouseListenerPut this in the constructor:--CODE--Override these methods:--CODE--Override this method:--CODE--The amount of space you have to work with when drawing your button is defined by getPreferredSize(), assuming getMinimumSize() and getMaximumSize() return the same value.  I haven't experimented too much with this but, depending on the layout you use for your GUI your button could look completely different.And finally, the [source code](""https://github.com/kdeloach/labs/blob/master/java/yahtzee/src/Dice.java"").  In case I missed anything.  ","[""enableInputMethods(true);   addMouseListener(this);"", ""public Dimension getPreferredSize()  public Dimension getMinimumSize()  public Dimension getMaximumSize()"", ""public void paintComponent(Graphics g)""]",User Interface Components with Swing,"{""Sophisticated Layout Management"": 0.8, ""Introduction to Layout Management"": 0.6}"
33708,33715,"My (Java/Swing) MouseListener isn't listening, help me figure out why","So I've got a JPanel implementing MouseListener and MouseMotionListener:--CODE--The trouble is, none of these mouse functions are ever called. DisplayArea is created like this:--CODE--I am not really a Java programmer (this is part of an assignment), but I can't see anything glaringly obvious. Can someone smarter than I see anything?","[""import javax.swing.*;import java.awt.*;import java.awt.event.*;public class DisplayArea extends JPanel implements MouseListener, MouseMotionListener  {    public DisplayArea(Rectangle bounds, Display display) {        setLayout(null);        setBounds(bounds);        setOpaque(false);        setPreferredSize(new Dimension(bounds.width, bounds.height));        this.display = display;    }    public void paintComponent(Graphics g) {         Graphics2D g2 = (Graphics2D)g;         if (display.getControlPanel().Antialiasing()) {             g2.addRenderingHints(new RenderingHints(RenderingHints.KEY_ANTIALIASING, RenderingHints.VALUE_ANTIALIAS_ON));         }         g2.setColor(Color.white);         g2.fillRect(0, 0, getWidth(), getHeight());    }    public void mousePressed(MouseEvent event) {        System.out.println(\""mousePressed()\"");        mx1 = event.getX();        my1 = event.getY();    }    public void mouseReleased(MouseEvent event) {        System.out.println(\""mouseReleased()\"");        mx2 = event.getX();        my2 = event.getY();        int mode = display.getControlPanel().Mode();        switch (mode) {        case ControlPanel.LINE:             System.out.println(\""Line from \"" + mx1 + \"", \"" + my1 + \"" to \"" + mx2 + \"", \"" + my2 + \"".\"");        }    }    public void mouseEntered(MouseEvent event) {        System.out.println(\""mouseEntered()\"");    }    public void mouseExited(MouseEvent event) {        System.out.println(\""mouseExited()\"");    }    public void mouseClicked(MouseEvent event) {        System.out.println(\""mouseClicked()\"");    }    public void mouseMoved(MouseEvent event) {        System.out.println(\""mouseMoved()\"");    }    public void mouseDragged(MouseEvent event) {         System.out.println(\""mouseDragged()\"");    }    private Display display = null;    private int mx1 = -1;    private int my1 = -1;    private int mx2 = -1;    private int my2 = -1;}"", ""da = new DisplayArea(new Rectangle(CONTROL_WIDTH, 0, DISPLAY_WIDTH, DISPLAY_HEIGHT), this);""]",<java><swing><actionlistener><mouselistener>,33715,"The implements mouselistener, mousemotionlistener just allows the displayArea class to listen to some, to be defined, Swing component's mouse events. You have to explicitly define what it should be listening at. So I suppose you could add something like this to the constructor:--CODE--","[""this.addMouseListener(this);this.addMouseMotionListener(this);""]",Graphical User Interface Programming,"{""Event Handling"": 1.9}"
37026,37046,Java: notify() vs. notifyAll() all over again,"If one Googles for ""difference between notify() and notifyAll()"" then a lot of explanations will pop up (leaving apart the javadoc paragraphs). It all boils down to the number of waiting threads being waken up: one in notify() and all in notifyAll().However (if I do understand the difference between these methods right), only one thread is always selected for further monitor acquisition; in the first case the one selected by the VM, in the second case the one selected by the system thread scheduler. The exact selection procedures for both of them (in the general case) are not known to the programmer.What's the useful difference between [notify()](""http://download.oracle.com/javase/6/docs/api/java/lang/Object.html#notify%28%29"") and [notifyAll()](""http://download.oracle.com/javase/6/docs/api/java/lang/Object.html#notifyAll%28%29"") then? Am I missing something?",[],<java><multithreading>,37046,"  However (if I do understand the difference between these methods right), only one thread is always selected for further monitor acquisition.That is not correct.  o.notifyAll() wakes all of the threads that are blocked in o.wait() calls.  The threads are only allowed to return from o.wait() one-by-one, but they each will get their turn.Simply put, it depends on why your threads are waiting to be notified. Do you want to tell one of the waiting threads that something happened, or do you want to tell all of them at the same time?In some cases, all waiting threads can take useful action once the wait finishes. An example would be a set of threads waiting for a certain task to finish; once the task has finished, all waiting threads can continue with their business. In such a case you would use notifyAll() to wake up all waiting threads at the same time.Another case, for example mutually exclusive locking, only one of the waiting threads can do something useful after being notified (in this case acquire the lock). In such a case, you would rather use notify(). Properly implemented, you could use notifyAll() in this situation as well, but you would unnecessarily wake threads that can't do anything anyway.In many cases, the code to await a condition will be written as a loop:--CODE--That way, if an o.notifyAll() call wakes more than one waiting thread, and the first one to return from the o.wait() makes leaves the condition in the false state, then the other threads that were awakened will go back to waiting.","[""synchronized(o) {    while (! IsConditionTrue()) {        o.wait();    }    DoSomethingThatOnlyMakesSenseWhenConditionIsTrue_and_MaybeMakeConditionFalseAgain();}""]",Concurrency,"{""Synchronization"": 1.9}"
53820,53831,Why does windows XP minimize my swing full screen window on my second screen?,"In the application I'm developping (in Java/swing), I have to show a full screen window on the second screen of the user.I did this using a code similar to the one you'll find below...Be, as soon as I click in a window opened by windows explorer, or as soon as I open windows explorer (i'm using windows XP), the full screen window is minimized...Do you know any way or workaround to fix this problem, or is there something important I did not understand with full screen windows?Thanks for the help,--CODE--","[""import javax.swing.JFrame;import javax.swing.JPanel;import javax.swing.JWindow;import java.awt.BorderLayout;import java.awt.Dimension;import java.awt.GraphicsDevice;import java.awt.GraphicsEnvironment;import java.awt.Window;import javax.swing.JButton;import javax.swing.JToggleButton;import java.awt.Rectangle;import java.awt.GridBagLayout;import javax.swing.JLabel;public class FullScreenTest {    private JFrame jFrame = null;  //  @jve:decl-index=0:visual-constraint=\""94,35\""    private JPanel jContentPane = null;    private JToggleButton jToggleButton = null;    private JPanel jFSPanel = null;  //  @jve:decl-index=0:visual-constraint=\""392,37\""    private JLabel jLabel = null;    private Window window;    /**     * This method initializes jFrame        *       * @return javax.swing.JFrame        */    private JFrame getJFrame() {        if (jFrame == null) {            jFrame = new JFrame();            jFrame.setSize(new Dimension(474, 105));            jFrame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);            jFrame.setContentPane(getJContentPane());        }        return jFrame;    }    /**     * This method initializes jContentPane      *       * @return javax.swing.JPanel        */    private JPanel getJContentPane() {        if (jContentPane == null) {            jContentPane = new JPanel();            jContentPane.setLayout(null);            jContentPane.add(getJToggleButton(), null);        }        return jContentPane;    }    /**     * This method initializes jToggleButton         *       * @return javax.swing.JToggleButton         */    private JToggleButton getJToggleButton() {        if (jToggleButton == null) {            jToggleButton = new JToggleButton();            jToggleButton.setBounds(new Rectangle(50, 23, 360, 28));            jToggleButton.setText(\""Show Full Screen Window on 2nd screen\"");            jToggleButton.addActionListener(new java.awt.event.ActionListener() {                public void actionPerformed(java.awt.event.ActionEvent e) {                    showFullScreenWindow(jToggleButton.isSelected());                }            });        }        return jToggleButton;    }    protected void showFullScreenWindow(boolean b) {        if(window==null){            window = initFullScreenWindow();        }        window.setVisible(b);    }    private Window initFullScreenWindow() {        GraphicsEnvironment ge = GraphicsEnvironment.getLocalGraphicsEnvironment();        GraphicsDevice[] gds = ge.getScreenDevices();        GraphicsDevice gd = gds[1];        JWindow window = new JWindow(gd.getDefaultConfiguration());        window.setContentPane(getJFSPanel());        gd.setFullScreenWindow(window);        return window;    }    /**     * This method initializes jFSPanel      *       * @return javax.swing.JPanel        */    private JPanel getJFSPanel() {        if (jFSPanel == null) {            jLabel = new JLabel();            jLabel.setBounds(new Rectangle(18, 19, 500, 66));            jLabel.setText(\""Hello ! Now, juste open windows explorer and see what happens...\"");            jFSPanel = new JPanel();            jFSPanel.setLayout(null);            jFSPanel.setSize(new Dimension(500, 107));            jFSPanel.add(jLabel, null);        }        return jFSPanel;    }    /**     * @param args     */    public static void main(String[] args) {        FullScreenTest me = new FullScreenTest();        me.getJFrame().setVisible(true);    }}""]",<java><windows><swing>,53831,"Usually when an application is in ""full screen"" mode it will take over the entire desktop.  For a user to get to another window they would have to alt-tab to it.  At that point windows would minimize the full screen app so that the other application could come to the front. This sounds like it may be a bug (undocumented feature...) in windows.  It should probably not be doing this for a dual screen setup.  One option to fix this is rather than setting it to be ""full screen"" just make the window the same size as the screen with location (0,0).  You can get screen information from the [GraphicsConfigurations on the GraphicsDevice](""http://java.sun.com/j2se/1.4.2/docs/api/java/awt/GraphicsDevice.html#getConfigurations%28%29"").  ",[],User Interface Components with Swing,"{""Introduction to Layout Management"": 0.65, ""Sophisticated Layout Management"": 0.85}"
64000,64183,Draining Standard Error in Java,"When launching a process from Java, both stderr and stdout can block on output if I don't read from the pipes.  Currently I have a thread that pro-actively reads from one and the main thread blocks on the other.Is there an easy way to join the two streams or otherwise cause the subprocess to continue while not losing the data in stderr? ",[],<java><multithreading><process-management>,64183,"Set the redirectErrorStream property on ProcessBuilder to send stderr output to stdout:--CODE--You should then create a thread to deal with the process stream, something like the following:--CODE--Where InputHandler is defined as:--CODE--Alternatively, just create two InputHandlers for the InputStream and ErrorStream. Knowing that the program will block if you don't read them is 90% of the battle :)","[""ProcessBuilder builder = new ProcessBuilder(command);builder.redirectErrorStream(true);"", ""Process p = builder.start();InputHandler outHandler = new InputHandler(p.getInputStream());"", ""private static class InputHandler extends Thread {    private final InputStream is;    private final ByteArrayOutputStream os;    public InputHandler(InputStream input) {        this.is = input;        this.os = new ByteArrayOutputStream();    }    public void run() {        try {            int c;            while ((c = is.read()) != -1) {                os.write(c);            }        } catch (Throwable t) {            throw new IllegalStateException(t);        }    }    public String getOutput() {        try {        os.flush();        } catch (Throwable t) {            throw new IllegalStateException(t);        }        return os.toString();    }}""]",Concurrency,"{""Tasks and Thread Pools"": 0.75}"
65128,65618,track down file handle,"I have a huge ear that uses log4j and there is a single config file that is used to set it up. In this config file there is no mention of certain log files but, additional files apart from those specified in the config file get generated in the logs folder. I've searched for other combinations of (logger|log4j|log).(properties|xml) and haven't found anything promising in all of the jar files included in the ear. How do I track down which is the offending thread/class that is creating these extra files?",[],<java><logging><file><jakarta-ee><websphere>,65618,"Try placing a breakpoint in the File class' constructors and the mkdir and createNewFile methods.  Generally, code will use the File class to create its files or directories.  You should have the Java source code for these classes included with your JVM.",[],Fundamental Programming Structures in Java,"{""Input and Output"": 0.8}"
584234,584261,Problem with threads,"*I'm using Java.I have this thread, agent, that explores a room to determine its size and clean it if it's dirty. Then I have the interface, which draws the agent as it explores the environment. Agent is subclassed from Thread, and Java takes care of managing the threads. All I do is create the thread and say object.start().This works very well under normal circustances. However, the menus are enabled during this time, and that means the user can mess with the room while the agent is exploring it. That shouldn't happen.So, once the user clicks the option that tells the agent to clean the room, I'd like to disable all the menus. Except this isn't working as it should. Here's the problem:--CODE--The problem is that the menus are enabled before the agent thread executes its function. I thought about using Thread.join() - that would garantee that the code to enable the menus is only executed after the agent thread ends. But, if I use Thread.join() the interface doesn't update itself while the agent is moving, because it's waiting for the agent to finish!I've thought about disabling the interface from the agent and then enabling it once the agent is done, but I'm not sure that would work and the biggest problem here is that the agent shouldn't be messing around with the menus.So, to sum it up, I need a thread executing to update the interface/draw the agent moving, but that thread cannot be the same that enables the menu. It seems currently there is one thread doing both. Assuming that's possible and not too complicated.","[""...public void ActionPerformed(ActionEvent e){    //disable the menus with setEnabled(false);    agent.start();    //enable the menus with setEnabled(true);}""]",<java><multithreading><user-interface>,584261,"  I've thought about disabling the  interface from the agent and then  enabling it once the agent is done,  but I'm not sure that would work and  the biggest problem here is that the  agent shouldn't be messing around with  the menus.You could make the agent call a method in the GUI class that re-enables the menus, when it is done. The method would, of course, call the appropriate Swing methods on the EDT.--CODE--If multiple agents can run concurrently, you'll need to check if all of them are done, before re-enabling the menu.","[""class Agent extends Thread{    @override    public void run()    {       // run around the room       // finally done       gui.agentIsDone();    }}class GUI extends JFrame{    ...    void agentIsDone()    {        SwingUtilities.invokeLater(new Runnable()        {            @override             public void run()            {                menus.setEnabled(true);            }        });    } }""]",Concurrency,"{""Thread Properties"": 0.75, ""Synchronization"": 0.55, ""Asynchronous Computations"": 0.7}"
