30531158,30531820,Draw triangle with rounded corner,I would like to draw a triangle whose vertices are a bit smoothed in Java Swing. I learnt how to draw a triangle with these lines of code--CODE--but I've found nothing about rounded corners. I read there is a method in Graphics2D that lets you to draw a rectangle with rounded borders but for a general Polygon? How should I do that?,"[""Polygon p=new Polygon (vertice_x, vertices_y, number_of_vertices);g.drawPolygon(p);""]",<java><swing><polygon><rounded-corners>,30531820,"For more control over the rounded corners (beyond using a [Stroke](""https://docs.oracle.com/javase/tutorial/2d/geometry/strokeandfill.html"")), you can combine 3 lines for the sides, and 3 bezier curves for the rounded corners. Use linear interpolation to get the start/end point of the lines and curves, with the corner points being the control point for the curves.--CODE--In the above code, you can adjust the t parameter passed to interpolate to change how rounded the corners are. You can also append all of these into a [Path2D](""http://docs.oracle.com/javase/7/docs/api/java/awt/geom/Path2D.Double.html""). Path2D implements the Shape interface, which among other things allows on to pass the object to Graphics2D.fill to fill the Shape--CODE--","[""public Point interpolate(Point p1, Point p2, double t){    return new Point((int)Math.round(p1.x * (1-t) + p2.x*t),             (int)Math.round(p1.y * (1-t) + p2.y*t));}Point p1 = new Point(50,10);Point p2 = new Point(10,100);Point p3 = new Point(100,100);Point p1p2a = interpolate(p1, p2, 0.2);Point p1p2b = interpolate(p1, p2, 0.8);Point p2p3a = interpolate(p2, p3, 0.2);Point p2p3b = interpolate(p2, p3, 0.8);Point p3p1a = interpolate(p3, p1, 0.2);Point p3p1b = interpolate(p3, p1, 0.8);...g.drawLine(p1p2a.x, p1p2a.y, p1p2b.x, p1p2b.y);g.drawLine(p2p3a.x, p2p3a.y, p2p3b.x, p2p3b.y);g.drawLine(p3p1a.x, p3p1a.y, p3p1b.x, p3p1b.y);QuadCurve2D c1 = new QuadCurve2D.Double(p1p2b.x, p1p2b.y, p2.x, p2.y, p2p3a.x, p2p3a.y);QuadCurve2D c2 = new QuadCurve2D.Double(p2p3b.x, p2p3b.y, p3.x, p3.y, p3p1a.x, p3p1a.y);QuadCurve2D c3 = new QuadCurve2D.Double(p3p1b.x, p3p1b.y, p1.x, p1.y, p1p2a.x, p1p2a.y);g.draw(c1);g.draw(c2);g.draw(c3);"", ""Path2D path = new Path2D.Double();AffineTransform at = new AffineTransform();path.moveTo(p1p2a.x, p1p2a.y);path.lineTo(p1p2b.x, p1p2b.y);path.append(c1.getPathIterator(at), true);path.lineTo(p2p3b.x, p2p3b.y);path.append(c2.getPathIterator(at), true);path.lineTo(p3p1b.x, p3p1b.y);path.append(c3.getPathIterator(at), true);path.closePath();g.fill(path);""]",Advanced AWT,"{""Shapes"": 1.2}"
46909599,,Timeseries DB with nice java query client,"I'm looking for any type of timeseries db for storing stock market data. Actually solutions like Grafana, Prometheus, InfluxDB are almost fit. But in addition to web ui with charts and dashboards, I need nice java client to be able to query datapoints. And I can't find any appropriate one. It would be great to see some kind of DSL with aggregation functions:--CODE--Any suggestions are welcome.","[""Metric myStockData = db.getMetric(\""exhangeRate\"");Set<Datapoints> daysAverages = myStockData    .groupBy(Grouping.Days)    .average()""]",<java><database><time-series><dsl><grafana>,48242652,"Finally, if someone is interested, I preferred InfluxDB for my solution. It can be easily triggered via some kind of SQL ",[],Database Programming,"{""The Design of JDBC"": 1.0, ""Query Execution"": 1.0}"
5097368,5097480,Add JButtons to JTable cell + DB,"I have a JTable, I want to populate this JTable from a database.The first mission is done.The second mission is how to add JButton in this JTable, I have acolumn that I must put a buuton in, the number of buttons change with number of rows.How can I do??this an example in the image:Thanks in advance.Best regards.Ali",[],<java><swing><jtable><jbutton>,5097480,"[Table Button Column](""http://tips4java.wordpress.com/2009/07/12/table-button-column/"") should help you out.",[],Advanced Swing,"{""Tables"": 1.5}"
51146269,,Spring Boot 2 Multiple Datasources initialize schema,"I have a Spring Boot 2 application that's using two datasources - one Oracle and one H2. The H2 datasource is set up as secondary, and I want to create the schema for it upon startup, but it never fires off the schema.sql file. This is my Data Source Config file:--CODE--This is my application.properties file:--CODE--For the primary datasource, I can see that it enters the DataSourceInitializerInvoker which is where it attempts to load up the schema, but since there are no schema-all.sql files it skips over that one. However, I do have a schema-h2.sql file, but for the secondary datasource it never enters the DataSourceInitializerInvoker and therefore never attempts to initialize the schema. Any help would be greatly appreciated!","[""@Configurationpublic class DataSourceConfig {    @Bean    @Primary    @ConfigurationProperties(\""spring.datasource\"")    public DataSourceProperties primaryDataSourceProperties() {        return new DataSourceProperties();    }    @Bean    @Primary    @ConfigurationProperties(\""spring.datasource\"")    public DataSource primaryDataSource() {        return primaryDataSourceProperties().initializeDataSourceBuilder().build();    }    @Bean    @ConfigurationProperties(\""spring.runlogdatasource\"")    public DataSourceProperties runlogDataSourceProperties() {        return new DataSourceProperties();    }    @Bean    @ConfigurationProperties(\""spring.runlogdatasource\"")    public DataSource runlogDataSource() {        return runlogDataSourceProperties().initializeDataSourceBuilder().build();    }}"", ""spring.datasource.url=jdbc:oracle:thin:@my.database.com:1521/mydbspring.datasource.username=testspring.datasource.password=ENC(3PXcnoBndLpWN1EcMtmIn+odOwhdWjSrqANijutxuekKEIOco64Jew==)spring.datasource.driver-class-name=oracle.jdbc.driver.OracleDriverspring.datasource.initialization-mode=neverspring.datasource.hikari.connection-timeout=60000spring.datasource.hikari.maximum-pool-size=10jasypt.encryptor.bean=stringEncryptorspring.runlogdatasource.url=jdbc:h2:~/runlogdb;CIPHER=AES;DB_CLOSE_ON_EXIT=FALSE;spring.runlogdatasource.username=saspring.runlogdatasource.password=ENC(3PXcnoBndLpWN1EcMtmIn+odOwhdWjSrqANijutxuekKEIOco64Jew==)spring.runlogdatasource.driverClassName=org.h2.Driverspring.runlogdatasource.platform=h2spring.runlogdatasource.schema=classpath:schema-h2.sql""]",<java><database><spring><spring-boot><initialization>,55378247,This is expected behaviour. When Primary datasource is specified only the schema and data for this datasource is executed. What you need to do in order to have this behavior is to define DataSourceInitializerfor each of the two datasources.--CODE--You also need to disable the default spring data initialization. You can do this through spring.datasource.initialization-mode=never,"[""        @Bean        public DataSourceInitializer dataSourceInitializer1(@Qualifier(\""datasource1\"") DataSource datasource) {            ResourceDatabasePopulator resourceDatabasePopulator = new ResourceDatabasePopulator();            resourceDatabasePopulator.addScript(new ClassPathResource(\""schema-h22.sql\""));            resourceDatabasePopulator.addScript(new ClassPathResource(\""data-h22.sql\""));                DataSourceInitializer dataSourceInitializer = new DataSourceInitializer();                dataSourceInitializer.setDataSource(datasource);                dataSourceInitializer.setDatabasePopulator(resourceDatabasePopulator);                return dataSourceInitializer;        }    @Bean    public DataSourceInitializer dataSourceInitializer2(@Qualifier(\""datasource2\"") DataSource datasource) {        ResourceDatabasePopulator resourceDatabasePopulator = new ResourceDatabasePopulator();        resourceDatabasePopulator.addScript(new ClassPathResource(\""schema-h21.sql\""));        resourceDatabasePopulator.addScript(new ClassPathResource(\""data-h21.sql\""));            DataSourceInitializer dataSourceInitializer = new DataSourceInitializer();            dataSourceInitializer.setDataSource(datasource);            dataSourceInitializer.setDatabasePopulator(resourceDatabasePopulator);            return dataSourceInitializer;    }""]",Database Programming,"{""JDBC Configuration"": 0.8, ""Working with JDBC Statements"": 1.0}"
11993280,11993470,How to organize graphics and drawing in Java,"I've been working with Java graphics programming and I feel that I understands how it works.One thing that I don't like/haven't grapsed yet is how to manage drawing lots of graphics (shapes, images, etc) on a panel.All the books/tutorials I've currently being going through have you put all the drawing you want done in the paintCompnents/paint function. Ex,--CODE--Thing is I have so much I want to draw that putting a bunch of code in one function is ugly, hard to read, and makes it hard to manage/edit...I understands OOP but I'm new to graphics programming. How should I manage all the ""data"" I want drawn on my canvas (JPanel to exact). I'm currently calling functions inside the paint(..) method. Ex,--CODE--then...--CODE--The problem is then in my JPanel class I have all these stray functions i have to manage.And this is only for drawing ""one page"" of stuff.. I can't imagine having to switch views or a game screen where I could have a bunch of things animating on a page..I'm just looking for direction on how to organize code drawn by the paint() method in java so I don't go crazy looking at my old work. Any tutorials, books (esp if they're free), or maybe good code to read would be very very appreciated. Everything I've found thus far is about teaching what you ""can"" do with graphics/graphics2D/java but i'm looking for organization/style tips as suggested by experts..","[""public void paint(Graphics g){    //do stuff here....}"", ""public void paint(Graphics g){    drawCars(g, x,y,wid,len,etc,etc);}"", ""drawCars(Graphics g, int x, int y, int wid, etc etc){    g.drawSomething(x,y,wid,len,)    g.drawAnotherThing(x+90,y+60,etc, etc);}""]",<java><swing><graphics><awt>,11993470,"Make classes for logical things you draw like cars. Each object would know all it needs to know to paint it self like position, size and color. If you let all these objects implement a common interface you can all put them together in a list. When time comes to draw them you iterate over the list and call each objects draw method.Apart from that document the drawing code well so that for each draw statement it is clear what part it is actual drawing.",[],Advanced AWT,"{""Printing"": 1.2, ""The Rendering Pipeline"":0.8}"
11729531,11729563,JFrame window with sub components,"So I have created this JFrame window which has a lot of items like JLabel, JComboBox JTextField etc鈥?At the bottom it has a ""next"" JButton.I want that when a user clicks the next button, everything on the screen should be removed and replaced with stuffs from other class that I have created.I only manage to open a new JFrame window whenever I click the next button. Can somebody please tell me how to remove all items from the screen and replace them with items from another class.Thanks. I am a newbie so please give me the easiest way possible.",[],<java><swing><user-interface><jframe><jcomponent>,11729563,"This sounds like a job for [CardLayout](""http://docs.oracle.com/javase/tutorial/uiswing/layout/card.html"")You could create a base panel in the BorderLayout.SOUTH position of your JFrame that would have your navigation buttons and have a number of panels added to your main panel being managed by CardLayout.See [Creating Wizard Dialogs with Java Swing](""http://java.sun.com/developer/technicalArticles/GUI/swing/wizard/"")",[],Advanced Swing,"{""Component Organizers and Decorators"": 1.5}"
12367152,12367521,Split string with regular expression,"I have been trying to split a string using regular expression in android without any success.The string is formatted like this id;value|For example :--CODE--I use this method to try o split the string.--CODE--When I run it in the [Rubular-regex-editor](""http://rubular.com/r/dGDvQrIV7d"") it looks fine, in Android no matches are found. Any ideas? ","[""String valueString = \""20;somevalue|4;anothervalue|10;athirdvalue|5;enoughwithvaluesalready\"";"", ""public void splitString(String valueString){    Pattern p = Pattern.compile(\""([\\\\d]+);([^\\\\|]+)\"");    Matcher m = p.matcher(valueString);      boolean matches = m.matches();}""]",<java><regex>,12367521,"I have tried your example, It will work only add .* at end of your Regx--CODE--Above line return true[http://developer.android.com/reference/java/lang/String.html#matches(java.lang.String](""http://developer.android.com/reference/java/lang/String.html#matches(java.lang.String""))Describe in above function","[""    Log.i(\""MainActivity \"", \""Matches \"" + valueString.matches(\""([\\\\d]+);([^\\\\|]+).*\""));""]",Input and Output,"{""Regular Expressions"": 0.5}"
8204752,,read and write arraylist of Strings and enum variables to and from random access file,I would like to use a random access file to store information for my program. Is there a way that I can read and write arraylist of strings and enum variables to and from the file. ( I am aware that I could do this using a Serializable interface to read and write to and from a binary file but I am looking for a solution for random access file.)see code:--CODE--,"[""public Book(RandomAccessFile file) throws IOException {        // set up Item based on data stored in data disk file       try {        this.ISBN=file.readLong();        this.title = readCharacters(file, 30);        this.publicationDate.set(file.readInt(), file.readInt(), file.readInt());// year month date        this.publisher = readCharacters(file, 30);        this.authorNames= //insert method to read in arraylist of Strings           this.salePrice=file.readDouble();        this.bookCategory=//insert method to read in enum        } catch (IOException io) {        throw io;    }}private String readCharacters (RandomAccessFile dataFile,int numChars)  throws IOException{      //reads a specific number of characters and places text in String field    char[] data = new char[numChars];    String field;    try{        for (int i=0;i<numChars;i++)              data[i]= dataFile.readChar();        //now place data into the field        field = new String (data);        field = field.trim(); //get rid of trailing spaces    }    catch(IOException io){        throw io;    }    return field;}public void writeToFile(String fileName,long location)throws Exception{    try{    RandomAccessFile invFile =         new RandomAccessFile(fileName,\""rw\"");    //seek to correct record in file                 invFile.seek(location);    //now write out the  record     //write out the data in fixed length fields       //String fields must be truncated if too large       //or padded with blanks if too small       invFile.writeLong(ISBN);       writeCharacters(invFile,title,30);       invFile.writeInt(publicationDate.YEAR);       invFile.writeInt(publicationDate.MONTH);       invFile.writeInt(publicationDate.DAY_OF_MONTH);       writeCharacters(invFile,publisher,30);     //insert method to write arraylist of authorNames that are Strings        invFile.writeDouble(salePrice);     //insert method to write out bookCategory which is an enumerated type           invFile.close();    }private void writeCharacters(RandomAccessFile invFile,        String data, int numChars)throws IOException{    char[] stringValue;    String dataChars;    try{        //assume data has the complete number of characters        dataChars = data.substring(0,numChars);         invFile.writeChars(dataChars);    }    catch(IndexOutOfBoundsException e){        //data has less number of characters, must be padded with blanks        dataChars = data.substring(0,data.length());        invFile.writeChars(dataChars);        //now add extra blanks        for (int i=0; i<numChars-dataChars.length();i++)            invFile.writeChar(' ');             }    catch(IOException io){        throw io;    } }""]",<java><file><ram>,8204884,You don't read or write it in any special way.  It's the same thing as any other stream: --CODE--,"[""File f = new File(\""outputfile\"");RandomAccessFile raf = new RandomAccessFile(f, \""rw\"");char ch = raf.readChar(); // establish the connectionraf.seek(f.length()); // go to the end of the fileraf.writeUTF(\""some string\""); // write somethingraf.close(); // close it.""]",Input and Output,"{""Working with Files"": 1.2, ""Input#Output Streams"":1}"
52443026,,"Unmarshalling from SOAP xml, getSOAPBody() method returns Null","While unmarshalling a Soap response getSOAPBody returns null.  I have tried using XMLStreamReader which works in this case. But I want to know a way to do it via ByteArrayInputStream. What would be the correct fix for it. I am attaching below POJOmand package-info.java file.Also if I make ""xsi:type=""xsd:string"" to ""xsi:type=""string"" it seems to work. How should I mofify my bean class such that it works?package-info.java--CODE--TestJAX.java--CODE--soap xml--CODE--WIResponse.java--CODE--","[""@XmlSchema(        namespace = \""http://tempuri.org/\"",        xmlns = {                @javax.xml.bind.annotation.XmlNs(prefix = \""soap\"", namespaceURI = \""http://schemas.xmlsoap.org/soap/envelope/\""),                @javax.xml.bind.annotation.XmlNs(prefix = \""xsi\"", namespaceURI = \""http://www.w3.org/2001/XMLSchema-instance/\""),                @javax.xml.bind.annotation.XmlNs(prefix = \""xsd\"", namespaceURI = \""http://www.w3.org/2001/XMLSchema\"")        })package org.tempuri;import javax.xml.bind.annotation.XmlSchema;"", ""    package org.test;import java.io.ByteArrayInputStream;import java.io.IOException;import javax.xml.bind.JAXBContext;import javax.xml.bind.JAXBException;import javax.xml.bind.Unmarshaller;import javax.xml.soap.MessageFactory;import javax.xml.soap.SOAPException;import javax.xml.soap.SOAPMessage;import javax.xml.stream.XMLStreamException;import org.tempuri.WIResponse;/** * Test Class *  * @author vijay.prakash * */public class TestJAX {    public static void main(String[] args) throws XMLStreamException, JAXBException, IOException, SOAPException {        // xmlReadingWay        /*         * XMLInputFactory xif = XMLInputFactory.newFactory(); XMLStreamReader xsr =         * xif.createXMLStreamReader(new FileReader(\""D:\\\\BACKUPWARS\\\\some.xml\""));         *          * xsr.nextTag(); // Advance to Envelope tag xsr.nextTag(); // Advance to Body         * tag xsr.nextTag(); // Advance to getNumberResponconse tag         */        // byteway        String object = \""<?xml version=\\\""1.0\\\"" encoding=\\\""utf-8\\\""?>\\r\\n\""                + \""<soap:Envelope xmlns:soap=\\\""http://schemas.xmlsoap.org/soap/envelope/\\\""\\r\\n\""                + \"" xmlns:xsi=\\\""http://www.w3.org/2001/XMLSchema-instance\\\"" xmlns:xsd=\\\""http://www.w3.org/2001/XMLSchema\\\"">\\r\\n\""                + \""    <soap:Body>\\r\\n\"" + \""        <WIResponse xmlns=\\\""http://tempuri.org/\\\"">\\r\\n\""                + \""            <WIResult xsi:type=\\\""xsd:string\\\"">20702458ghhc</WIResult>\\r\\n\""                + \""        </WIResponse>\\r\\n\"" + \""    </soap:Body>\\r\\n\"" + \""</soap:Envelope>\"";        String str = new String(object.getBytes(), \""utf-8\"");        final MessageFactory messFac = MessageFactory.newInstance();        SOAPMessage message = messFac.createMessage(null, new ByteArrayInputStream(str.getBytes()));        message.setProperty(SOAPMessage.CHARACTER_SET_ENCODING, \""utf-8\"");        System.out.println(\""message: \"" + message.getSOAPBody());        JAXBContext jaxbContext = JAXBContext.newInstance(WIResponse.class);        Unmarshaller unmarshaller = jaxbContext.createUnmarshaller();        System.out.println(\""message.getSOAPBody(): \"" + message.getSOAPBody());        Object je = unmarshaller.unmarshal(message.getSOAPBody().extractContentAsDocument());        WIResponse wi = (WIResponse) je;        /*         * //JAXBElement<WIResponse> je =         * unmarshaller.unmarshal(message.getSOAPBody().extractContentAsDocument(),         * WIResponse.class);         */        System.out.println(wi.getWIResult());    }}"", ""    <?xml version=\""1.0\"" encoding=\""utf-8\""?><soap:Envelope xmlns:soap=\""http://schemas.xmlsoap.org/soap/envelope/\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" xmlns:xsd=\""http://www.w3.org/2001/XMLSchema\"">    <soap:Body>        <WIResponse xmlns=\""http://tempuri.org/\"">            <WIResult xsi:type=\""xsd:string\"">20702458ghhc</WIResult>        </WIResponse>    </soap:Body></soap:Envelope>"", ""    package org.tempuri;import javax.xml.bind.annotation.XmlAccessType;import javax.xml.bind.annotation.XmlAccessorType;import javax.xml.bind.annotation.XmlElement;import javax.xml.bind.annotation.XmlRootElement;@XmlAccessorType(XmlAccessType.FIELD)@XmlRootElement(name = \""WIResponse\"", namespace = \""http://tempuri.org/\"")public class WIResponse {    @XmlElement(name = \""WIResult\"", required = true, type = java.lang.String.class)    String wIResult;    public String getWIResult() {        return wIResult;    }    public void setWIResult(String wIResult) {        this.wIResult = wIResult;    }}""]",<java><xml><xml-parsing><jaxb><pojo>,57424044,"The issue appears to be some sort of parsing bug (getSOAPBody() doesn't seem to properly handle namespace resolution).The 'easiest' way to solve this is to retrieve the raw XML from the SOAP message yourself, however in typical Java fashion, the solution is convoluted and bureaucratic.You may have to modify the example code below:--CODE--Basically, SOAPPart from the message, get the content of that SOAPPart which is a JAXMStreamSource.Then from the JAXMStreamSource, it can either have a 'Reader' or a 'InputStream' (in my case, I found it has an 'InputStream'). The InputStream is likely dictated by the application type (in my case, xop+xml, which is 'binary' XML), however in testing I found it was of type ByteInputStream, which is an extended class of ByteArrayInputStream.Finally, you can convert the ByteArray to a string. This string will contain the entire XML (including XML version header), which you can then parse using whatever preferred XML handler class you'd like to use.(Full name resolution and commented references included to assist with understanding how this works.)","[""//https://docs.oracle.com/javase/7/docs/api/javax/xml/soap/SOAPPart.htmljavax.xml.soap.SOAPPart GSP = SomeSOAPMessage.getSOAPPart();//https://static.javadoc.io/com.sun.xml.messaging.saaj/saaj-impl/1.4.0/com/sun/xml/messaging/saaj/util/JAXMStreamSource.htmlcom.sun.xml.messaging.saaj.util.JAXMStreamSource GC = GSP.getContent();//https://static.javadoc.io/com.sun.xml.messaging.saaj/saaj-impl/1.4.0/com/sun/xml/messaging/saaj/util/ByteInputStream.htmlcom.sun.xml.messaging.saaj.util.ByteInputStream BIS = GC.getInputStream();byte[] ByteArray = BIS.getBytes();java.lang.String Data = new java.lang.String(ByteArray, \""UTF-8\"");""]",XML,"{""Parsing an XML Document"": 0.6}"
11806399,11806428,Trying to insert data into Mysql Table doesn't work (Java),Given this code : --CODE--When I execute from my Main : --CODE--And reach that line in start() method : --CODE--I get the following output from the server (using the try/catch) : --CODE--I checked the manual but I can't seem to find the source of the problem . Any idea what's wrong here ? thanks ,"[""package db;import java.io.*;import java.sql.*;public class Connect {    // creating a table for each type person in the bank     public void createTable(Statement state,String tableType) throws SQLException    {        state.executeUpdate (                \""CREATE TABLE IF NOT EXISTS \""+ tableType +\"" (\""                + \""FirstName CHAR(20), LastName CHAR(20),\""                + \""Address CHAR(50), PhoneNumber CHAR(20),\""                + \""UserName CHAR(20), Password CHAR(20))\"");    }    public void insertDataToTable(Statement statement , String table             ,String firstName,String lastName,String address, String phoneNumber , String userName, String password)    {        try        {            statement.executeUpdate(\""INSERT INTO table (`FirstName` ,`LastName` , `Address` , `PhoneNumber` , `UserName` , `Password`) \"" +                    \""values ( '\""+firstName+\""','\""+lastName+ \""','\""+address+\""','\""+phoneNumber+\""','\""+userName+ \""',\"" +password+\"")\"");        }        catch(Exception e)        {            System.out.println(e.toString());        }    }    public void start()    {        System.out.println(\""Database creation example!\"");        Connection con = null;        try        {            Class.forName(\""com.mysql.jdbc.Driver\"");            con = DriverManager.getConnection(\""jdbc:mysql://localhost\"",\""root\"",\""root\"");            try            {                Statement st = con.createStatement();                // create a database                 st.executeUpdate(\""CREATE DATABASE IF NOT EXISTS Personnel\"");                 st.executeUpdate(\""USE Personnel\"");                // create tables                //Create a table for each user type!                createTable(st, \""ClientsTable\"");                createTable(st, \""ClerksTable\"");                createTable(st, \""ManagersTable\"");                createTable(st, \""AdminsTable\"");                this.insertDataToTable(st, \""ClientsTable\"", \""my\"", \""name\"", \""is\"", \""erl\"", \""I\"", \""think\"");                ResultSet rs = st.executeQuery(\""SELECT `FirstName` FROM `ClientsTable`\"");                while (rs.next() == true)                {                     System.out.println(rs.getString(\""FirstName\""));                 }            } // end try              catch (SQLException s)            {                System.out.println(\""SQL statement is not executed!\"");            }        } // end try         catch (Exception e){            e.printStackTrace();        }    }  // end start}"", ""package db;public class Main {    public static void main(String [ ] args)    {        Connect myConnection = new Connect();        myConnection.start();    }}"", ""this.insertDataToTable(st, \""ClientsTable\"", \""my\"", \""name\"", \""is\"", \""erl\"", \""I\"", \""think\"");"", ""com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'table (`FirstName` ,`LastName` , `Address` , `PhoneNumber` , `UserName` , `Passw' at line 1""]",<java><mysql><jdbc><prepared-statement>,11806428,"Your table name is a variable I believe. However you have used the String ""table"" directly. But this isn't an issue.Your password variable value requires a single quote.--CODE--","[""\""values ( '\""+firstName+\""','\""+lastName+ \""','\""+address+\""','\""+phoneNumber+\""','\""+userName+ \""','\"" +password+\""')\"");""]",Database Programming,"{""Working with JDBC Statements"": 1.2, ""Query Execution"": 0.8}"
