30531158,30531820,Draw triangle with rounded corner,I would like to draw a triangle whose vertices are a bit smoothed in Java Swing. I learnt how to draw a triangle with these lines of code--CODE--but I've found nothing about rounded corners. I read there is a method in Graphics2D that lets you to draw a rectangle with rounded borders but for a general Polygon? How should I do that?,"[""Polygon p=new Polygon (vertice_x, vertices_y, number_of_vertices);g.drawPolygon(p);""]",<java><swing><polygon><rounded-corners>,30531820,"For more control over the rounded corners (beyond using a [Stroke](""https://docs.oracle.com/javase/tutorial/2d/geometry/strokeandfill.html"")), you can combine 3 lines for the sides, and 3 bezier curves for the rounded corners. Use linear interpolation to get the start/end point of the lines and curves, with the corner points being the control point for the curves.--CODE--In the above code, you can adjust the t parameter passed to interpolate to change how rounded the corners are. You can also append all of these into a [Path2D](""http://docs.oracle.com/javase/7/docs/api/java/awt/geom/Path2D.Double.html""). Path2D implements the Shape interface, which among other things allows on to pass the object to Graphics2D.fill to fill the Shape--CODE--","[""public Point interpolate(Point p1, Point p2, double t){    return new Point((int)Math.round(p1.x * (1-t) + p2.x*t),             (int)Math.round(p1.y * (1-t) + p2.y*t));}Point p1 = new Point(50,10);Point p2 = new Point(10,100);Point p3 = new Point(100,100);Point p1p2a = interpolate(p1, p2, 0.2);Point p1p2b = interpolate(p1, p2, 0.8);Point p2p3a = interpolate(p2, p3, 0.2);Point p2p3b = interpolate(p2, p3, 0.8);Point p3p1a = interpolate(p3, p1, 0.2);Point p3p1b = interpolate(p3, p1, 0.8);...g.drawLine(p1p2a.x, p1p2a.y, p1p2b.x, p1p2b.y);g.drawLine(p2p3a.x, p2p3a.y, p2p3b.x, p2p3b.y);g.drawLine(p3p1a.x, p3p1a.y, p3p1b.x, p3p1b.y);QuadCurve2D c1 = new QuadCurve2D.Double(p1p2b.x, p1p2b.y, p2.x, p2.y, p2p3a.x, p2p3a.y);QuadCurve2D c2 = new QuadCurve2D.Double(p2p3b.x, p2p3b.y, p3.x, p3.y, p3p1a.x, p3p1a.y);QuadCurve2D c3 = new QuadCurve2D.Double(p3p1b.x, p3p1b.y, p1.x, p1.y, p1p2a.x, p1p2a.y);g.draw(c1);g.draw(c2);g.draw(c3);"", ""Path2D path = new Path2D.Double();AffineTransform at = new AffineTransform();path.moveTo(p1p2a.x, p1p2a.y);path.lineTo(p1p2b.x, p1p2b.y);path.append(c1.getPathIterator(at), true);path.lineTo(p2p3b.x, p2p3b.y);path.append(c2.getPathIterator(at), true);path.lineTo(p3p1b.x, p3p1b.y);path.append(c3.getPathIterator(at), true);path.closePath();g.fill(path);""]",Advanced AWT,"{""Shapes"": 1.2}"
46909599,,Timeseries DB with nice java query client,"I'm looking for any type of timeseries db for storing stock market data. Actually solutions like Grafana, Prometheus, InfluxDB are almost fit. But in addition to web ui with charts and dashboards, I need nice java client to be able to query datapoints. And I can't find any appropriate one. It would be great to see some kind of DSL with aggregation functions:--CODE--Any suggestions are welcome.","[""Metric myStockData = db.getMetric(\""exhangeRate\"");Set<Datapoints> daysAverages = myStockData    .groupBy(Grouping.Days)    .average()""]",<java><database><time-series><dsl><grafana>,48242652,"Finally, if someone is interested, I preferred InfluxDB for my solution. It can be easily triggered via some kind of SQL ",[],Database Programming,"{""The Design of JDBC"": 1.0, ""Query Execution"": 1.0}"
5097368,5097480,Add JButtons to JTable cell + DB,"I have a JTable, I want to populate this JTable from a database.The first mission is done.The second mission is how to add JButton in this JTable, I have acolumn that I must put a buuton in, the number of buttons change with number of rows.How can I do??this an example in the image:Thanks in advance.Best regards.Ali",[],<java><swing><jtable><jbutton>,5097480,"[Table Button Column](""http://tips4java.wordpress.com/2009/07/12/table-button-column/"") should help you out.",[],Advanced Swing,"{""Tables"": 1.5}"
11993280,11993470,How to organize graphics and drawing in Java,"I've been working with Java graphics programming and I feel that I understands how it works.One thing that I don't like/haven't grapsed yet is how to manage drawing lots of graphics (shapes, images, etc) on a panel.All the books/tutorials I've currently being going through have you put all the drawing you want done in the paintCompnents/paint function. Ex,--CODE--Thing is I have so much I want to draw that putting a bunch of code in one function is ugly, hard to read, and makes it hard to manage/edit...I understands OOP but I'm new to graphics programming. How should I manage all the ""data"" I want drawn on my canvas (JPanel to exact). I'm currently calling functions inside the paint(..) method. Ex,--CODE--then...--CODE--The problem is then in my JPanel class I have all these stray functions i have to manage.And this is only for drawing ""one page"" of stuff.. I can't imagine having to switch views or a game screen where I could have a bunch of things animating on a page..I'm just looking for direction on how to organize code drawn by the paint() method in java so I don't go crazy looking at my old work. Any tutorials, books (esp if they're free), or maybe good code to read would be very very appreciated. Everything I've found thus far is about teaching what you ""can"" do with graphics/graphics2D/java but i'm looking for organization/style tips as suggested by experts..","[""public void paint(Graphics g){    //do stuff here....}"", ""public void paint(Graphics g){    drawCars(g, x,y,wid,len,etc,etc);}"", ""drawCars(Graphics g, int x, int y, int wid, etc etc){    g.drawSomething(x,y,wid,len,)    g.drawAnotherThing(x+90,y+60,etc, etc);}""]",<java><swing><graphics><awt>,11993470,"Make classes for logical things you draw like cars. Each object would know all it needs to know to paint it self like position, size and color. If you let all these objects implement a common interface you can all put them together in a list. When time comes to draw them you iterate over the list and call each objects draw method.Apart from that document the drawing code well so that for each draw statement it is clear what part it is actual drawing.",[],Advanced AWT,"{""Printing"": 1.2, ""The Rendering Pipeline"":0.8}"
11729531,11729563,JFrame window with sub components,"So I have created this JFrame window which has a lot of items like JLabel, JComboBox JTextField etc鈥?At the bottom it has a ""next"" JButton.I want that when a user clicks the next button, everything on the screen should be removed and replaced with stuffs from other class that I have created.I only manage to open a new JFrame window whenever I click the next button. Can somebody please tell me how to remove all items from the screen and replace them with items from another class.Thanks. I am a newbie so please give me the easiest way possible.",[],<java><swing><user-interface><jframe><jcomponent>,11729563,"This sounds like a job for [CardLayout](""http://docs.oracle.com/javase/tutorial/uiswing/layout/card.html"")You could create a base panel in the BorderLayout.SOUTH position of your JFrame that would have your navigation buttons and have a number of panels added to your main panel being managed by CardLayout.See [Creating Wizard Dialogs with Java Swing](""http://java.sun.com/developer/technicalArticles/GUI/swing/wizard/"")",[],Advanced Swing,"{""Component Organizers and Decorators"": 1.5}"
12367152,12367521,Split string with regular expression,"I have been trying to split a string using regular expression in android without any success.The string is formatted like this id;value|For example :--CODE--I use this method to try o split the string.--CODE--When I run it in the [Rubular-regex-editor](""http://rubular.com/r/dGDvQrIV7d"") it looks fine, in Android no matches are found. Any ideas? ","[""String valueString = \""20;somevalue|4;anothervalue|10;athirdvalue|5;enoughwithvaluesalready\"";"", ""public void splitString(String valueString){    Pattern p = Pattern.compile(\""([\\\\d]+);([^\\\\|]+)\"");    Matcher m = p.matcher(valueString);      boolean matches = m.matches();}""]",<java><regex>,12367521,"I have tried your example, It will work only add .* at end of your Regx--CODE--Above line return true[http://developer.android.com/reference/java/lang/String.html#matches(java.lang.String](""http://developer.android.com/reference/java/lang/String.html#matches(java.lang.String""))Describe in above function","[""    Log.i(\""MainActivity \"", \""Matches \"" + valueString.matches(\""([\\\\d]+);([^\\\\|]+).*\""));""]",Input and Output,"{""Regular Expressions"": 0.5}"
52443026,,"Unmarshalling from SOAP xml, getSOAPBody() method returns Null","While unmarshalling a Soap response getSOAPBody returns null.  I have tried using XMLStreamReader which works in this case. But I want to know a way to do it via ByteArrayInputStream. What would be the correct fix for it. I am attaching below POJOmand package-info.java file.Also if I make ""xsi:type=""xsd:string"" to ""xsi:type=""string"" it seems to work. How should I mofify my bean class such that it works?package-info.java--CODE--TestJAX.java--CODE--soap xml--CODE--WIResponse.java--CODE--","[""@XmlSchema(        namespace = \""http://tempuri.org/\"",        xmlns = {                @javax.xml.bind.annotation.XmlNs(prefix = \""soap\"", namespaceURI = \""http://schemas.xmlsoap.org/soap/envelope/\""),                @javax.xml.bind.annotation.XmlNs(prefix = \""xsi\"", namespaceURI = \""http://www.w3.org/2001/XMLSchema-instance/\""),                @javax.xml.bind.annotation.XmlNs(prefix = \""xsd\"", namespaceURI = \""http://www.w3.org/2001/XMLSchema\"")        })package org.tempuri;import javax.xml.bind.annotation.XmlSchema;"", ""    package org.test;import java.io.ByteArrayInputStream;import java.io.IOException;import javax.xml.bind.JAXBContext;import javax.xml.bind.JAXBException;import javax.xml.bind.Unmarshaller;import javax.xml.soap.MessageFactory;import javax.xml.soap.SOAPException;import javax.xml.soap.SOAPMessage;import javax.xml.stream.XMLStreamException;import org.tempuri.WIResponse;/** * Test Class *  * @author vijay.prakash * */public class TestJAX {    public static void main(String[] args) throws XMLStreamException, JAXBException, IOException, SOAPException {        // xmlReadingWay        /*         * XMLInputFactory xif = XMLInputFactory.newFactory(); XMLStreamReader xsr =         * xif.createXMLStreamReader(new FileReader(\""D:\\\\BACKUPWARS\\\\some.xml\""));         *          * xsr.nextTag(); // Advance to Envelope tag xsr.nextTag(); // Advance to Body         * tag xsr.nextTag(); // Advance to getNumberResponconse tag         */        // byteway        String object = \""<?xml version=\\\""1.0\\\"" encoding=\\\""utf-8\\\""?>\\r\\n\""                + \""<soap:Envelope xmlns:soap=\\\""http://schemas.xmlsoap.org/soap/envelope/\\\""\\r\\n\""                + \"" xmlns:xsi=\\\""http://www.w3.org/2001/XMLSchema-instance\\\"" xmlns:xsd=\\\""http://www.w3.org/2001/XMLSchema\\\"">\\r\\n\""                + \""    <soap:Body>\\r\\n\"" + \""        <WIResponse xmlns=\\\""http://tempuri.org/\\\"">\\r\\n\""                + \""            <WIResult xsi:type=\\\""xsd:string\\\"">20702458ghhc</WIResult>\\r\\n\""                + \""        </WIResponse>\\r\\n\"" + \""    </soap:Body>\\r\\n\"" + \""</soap:Envelope>\"";        String str = new String(object.getBytes(), \""utf-8\"");        final MessageFactory messFac = MessageFactory.newInstance();        SOAPMessage message = messFac.createMessage(null, new ByteArrayInputStream(str.getBytes()));        message.setProperty(SOAPMessage.CHARACTER_SET_ENCODING, \""utf-8\"");        System.out.println(\""message: \"" + message.getSOAPBody());        JAXBContext jaxbContext = JAXBContext.newInstance(WIResponse.class);        Unmarshaller unmarshaller = jaxbContext.createUnmarshaller();        System.out.println(\""message.getSOAPBody(): \"" + message.getSOAPBody());        Object je = unmarshaller.unmarshal(message.getSOAPBody().extractContentAsDocument());        WIResponse wi = (WIResponse) je;        /*         * //JAXBElement<WIResponse> je =         * unmarshaller.unmarshal(message.getSOAPBody().extractContentAsDocument(),         * WIResponse.class);         */        System.out.println(wi.getWIResult());    }}"", ""    <?xml version=\""1.0\"" encoding=\""utf-8\""?><soap:Envelope xmlns:soap=\""http://schemas.xmlsoap.org/soap/envelope/\"" xmlns:xsi=\""http://www.w3.org/2001/XMLSchema-instance\"" xmlns:xsd=\""http://www.w3.org/2001/XMLSchema\"">    <soap:Body>        <WIResponse xmlns=\""http://tempuri.org/\"">            <WIResult xsi:type=\""xsd:string\"">20702458ghhc</WIResult>        </WIResponse>    </soap:Body></soap:Envelope>"", ""    package org.tempuri;import javax.xml.bind.annotation.XmlAccessType;import javax.xml.bind.annotation.XmlAccessorType;import javax.xml.bind.annotation.XmlElement;import javax.xml.bind.annotation.XmlRootElement;@XmlAccessorType(XmlAccessType.FIELD)@XmlRootElement(name = \""WIResponse\"", namespace = \""http://tempuri.org/\"")public class WIResponse {    @XmlElement(name = \""WIResult\"", required = true, type = java.lang.String.class)    String wIResult;    public String getWIResult() {        return wIResult;    }    public void setWIResult(String wIResult) {        this.wIResult = wIResult;    }}""]",<java><xml><xml-parsing><jaxb><pojo>,57424044,"The issue appears to be some sort of parsing bug (getSOAPBody() doesn't seem to properly handle namespace resolution).The 'easiest' way to solve this is to retrieve the raw XML from the SOAP message yourself, however in typical Java fashion, the solution is convoluted and bureaucratic.You may have to modify the example code below:--CODE--Basically, SOAPPart from the message, get the content of that SOAPPart which is a JAXMStreamSource.Then from the JAXMStreamSource, it can either have a 'Reader' or a 'InputStream' (in my case, I found it has an 'InputStream'). The InputStream is likely dictated by the application type (in my case, xop+xml, which is 'binary' XML), however in testing I found it was of type ByteInputStream, which is an extended class of ByteArrayInputStream.Finally, you can convert the ByteArray to a string. This string will contain the entire XML (including XML version header), which you can then parse using whatever preferred XML handler class you'd like to use.(Full name resolution and commented references included to assist with understanding how this works.)","[""//https://docs.oracle.com/javase/7/docs/api/javax/xml/soap/SOAPPart.htmljavax.xml.soap.SOAPPart GSP = SomeSOAPMessage.getSOAPPart();//https://static.javadoc.io/com.sun.xml.messaging.saaj/saaj-impl/1.4.0/com/sun/xml/messaging/saaj/util/JAXMStreamSource.htmlcom.sun.xml.messaging.saaj.util.JAXMStreamSource GC = GSP.getContent();//https://static.javadoc.io/com.sun.xml.messaging.saaj/saaj-impl/1.4.0/com/sun/xml/messaging/saaj/util/ByteInputStream.htmlcom.sun.xml.messaging.saaj.util.ByteInputStream BIS = GC.getInputStream();byte[] ByteArray = BIS.getBytes();java.lang.String Data = new java.lang.String(ByteArray, \""UTF-8\"");""]",XML,"{""Parsing an XML Document"": 0.6}"
2921375,2921420,Making Java Swing applications persistent,"I'd like to add persistence to my Swing-based application; and this is the first time that I'm doing something like that.I know how to use Java serialization APIs (though I'm using xstream instead), I know that JComponent's are serializable, but I'm interested in more architectural considerations: how an application should be designed so that making it persistent becomes easy; etc.I'd be happy to see any sources with in-depth consideration of these issues, though I'd be also happy to hear some best practices explicitly :)",[],<java><swing><architecture><persistence>,2921420,"You should use a [model-view-controller approach](""http://en.wikipedia.org/wiki/Model_view_controller"").  You only serialize the model, not the view.  The view should be populated from the model.  Serializing Swing components is anyways not recommended at all:  [While Swing components do implement the Serializable interface, they are not portable between different versions of the Java Virtual Machine](""http://en.wikipedia.org/wiki/Serialization#Java"")Looking at what you have, you should have some classes that are your model and have only data.  These classes will be serialized using XStream somewhere.  Your Swing Classes then have methods to receive these model classes and populate the fields and editors.  You can then extend the UI, for example, without having to change the class, adding more funcionality, or provide different views for the same data set.To make it fancier, the Swing Component should not store and load the model, but you should have a controller interface that you pass to the swing component to perform these operations.  This way, you can unit test better and you decouple the storage logic from the view logic.If XStream is correctly configured, and if you are careful about the model and the fields, it should be possible to add more fields to your model classes without breaking backwards compatibility.I don't recommend using Java Serialization anyways, as it is not a good practice to use it for storage.  Java Serialization excels at Remote Method Invocation.  It is relatively fragile when the model classes change..",[],Advanced AWT,"{""Platform Integration"": 1.5}"
39926279,39931191,How can run java GUI in browser by GWT,I want to run java swing application on web browser over GWT (Google Web Toolkit) or another solution.,[],<java><swing><gwt><web-applications>,39931191,"I am not entirely clear what you want to do. GWT is compiling Java source code to JavaScript. That JavaScript is executed on the browser. There is no direct connection between Java Swing code and the JavaScript executed in the browser, especially, Swing is not supported by the GWT widget library and cannot be compiled to JavaScript. You can find the supported packages and classes here: [http://www.gwtproject.org/doc/latest/RefJreEmulation.html](""http://www.gwtproject.org/doc/latest/RefJreEmulation.html"")If you try to execute a Java Swing desktop application from the browser environment, that would only work out using WebStart, where the browser forwards control to the WebStart application using the ""jnlp:"" protocol handler, installed with the Java Plugin. More information can be found here: [http://docs.oracle.com/javase/7/docs/technotes/guides/javaws/developersguide/contents.html](""http://docs.oracle.com/javase/7/docs/technotes/guides/javaws/developersguide/contents.html"")If the Swing application you are talking about is an Applet, you can output the required embedding code for the applet into the HTML output of your GWT application's view. Either static or by dynamically adding a HTML panel with the respective contents. The applet support is fading away in browsers, but you can find samples here [https://docs.oracle.com/javase/tutorial/deployment/applet/deployingApplet.html](""https://docs.oracle.com/javase/tutorial/deployment/applet/deployingApplet.html"")Choose your weapon. ",[],"Scripting, Compiling, and Annotation Processing","{""Scripting for the Java Platform"": 0.4}"
28359889,28453859,Maintain db connection inside Camel Route,"Requirement: We create a database connection inside a java application. We need to run all the statements through the same connection on the entire Java application.Problem: Once passing the the created datasource in the Camel route, it apparently creates a new connections.I am using a DataSource Object that creates a connection to an Oracle database. On this connection i run several statements. --CODE--As a second part, i use the created datasource for my Camel route--CODE--Inside my route, i use a bean that creates a query which finally ends to my database.--CODE--So the problem in this case that i create a new connection at the start which i want to use throughout the entire application. Once Camel is doing the routing to the DB, it creates a new one.Question 1: Is there any way to maintain somehow the same Connection (myConn) also inside Camel RouteBuilder ? Question 2: My datasource is already set to DefaultAutoCommit(false) . Could it be that inside the RouteBuilder Camel ignores this and still commits the queries ?","[""Connection myConn = myDBDatasource.getConnection()"", ""SimpleRegistry reg = new SimpleRegistry();reg.put(\""myDBDatasource\"", myDBDatasource);"", ""from(\""direct:start\"").bean(MyClass.class,\""processData\"").to(\""jdbc:oracleDataSource?resetAutoCommit=false\"");""]",<java><oracle><jdbc><apache-camel><datasource>,28453859,I finally created my own Custom datasource class and implemented some part also found in the SingleConnectionDataSource of Spring. ,[],Database Programming,"{""JDBC Configuration"": 1.0, ""Working with JDBC Statements"": 1.2}"
