["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["Collections", "Concurrency", "Objects and Classes"]	["Concurrency", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Concurrency", "Collections", "Fundamental Programming Structures in Java"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Concurrency"]	["Objects and Classes", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Concurrency", "Graphical User Interface Programming"]	["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]	["Collections", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]	["Objects and Classes", "Collections", "Fundamental Programming Structures in Java"]
["Graphical User Interface Programming", "Collections", "Objects and Classes"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Objects and Classes", "Generic Programming", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Inheritance", "Generic Programming"]
["Generic Programming", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Concurrency", "Graphical User Interface Programming", "Collections"]	["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Collections"]
["Collections", "Concurrency", "Objects and Classes"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]
["Graphical User Interface Programming", "Objects and Classes", "Collections"]	["Graphical User Interface Programming", "Collections", "Concurrency"]
["Collections", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Generic Programming"]
["Collections", "Exceptions, Assertions, and Logging", "Inheritance"]	["Collections", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Graphical User Interface Programming", "Collections", "Objects and Classes"]	["Exceptions, Assertions, and Logging", "Graphical User Interface Programming", "Objects and Classes"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]
["Concurrency", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Collections", "Objects and Classes", "Graphical User Interface Programming"]
["Concurrency", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Concurrency"]
["Collections", "Objects and Classes", "User Interface Components with Swing"]	["Graphical User Interface Programming", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Collections"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Objects and Classes", "Concurrency", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Concurrency", "Fundamental Programming Structures in Java"]
["Inheritance", "Generic Programming", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Collections", "Objects and Classes", "Generic Programming"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Generic Programming", "Collections", "Objects and Classes"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Generic Programming"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Generic Programming"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Concurrency"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Concurrency"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Collections", "Fundamental Programming Structures in Java", "Concurrency"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Collections", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Inheritance", "Generic Programming", "Collections"]
["Concurrency", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Concurrency"]
["Objects and Classes", "Collections", "Fundamental Programming Structures in Java"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Collections"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]
